num,Title,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,googletrends,Average Gross for each movie,if_average_gross
81,Kit Kittredge: An American Girl,1849,1,1,1,101,20/06/2008,1,6.6,55200,1,100,,0
82,The Kitchen,2,1,2,1,80,08/03/2013,1,5,0,0,966,,0
83,The Kite Runner,715,1,1,1,128,14/12/2007,68,7.6,0,0,849,57200,1
84,Kites,207,4,4,0,123,21/05/2010,1,6.1,0,0,991,,0
85,The Guard,203,6,2,1,96,29/07/2011,1,7.3,0,0,996,4500,1
86,The Guardians,682,6,4,0,89,04/05/2018,13,3.9,0,0,,,0
87,Guardians of the Galaxy,4088,1,4,1,121,01/08/2014,1,8.1,116600,1,603,182800,1
88,Guardians of the Galaxy Vol. 2,4347,1,4,1,136,05/05/2017,1,7.8,116600,1,1036,182800,1
89,Güeros,5,6,2,0,106,20/05/2015,4,7.5,0,0,509,,0
90,Guest of Cindy Sherman,1,1,3,1,88,27/03/2009,1,6.5,0,0,337,,0
91,Guidance,2,5,2,0,81,21/08/2015,1,6.3,0,0,695,,0
92,The Guillotines,10,6,4,1,112,14/06/2013,5,4.8,0,0,1044,,0
93,The Guilt Trip,2431,1,2,1,95,19/12/2012,1,5.8,77350,1,713,75600,1
94,Gulliver's Travels,3089,1,9,1,85,25/12/2010,1,4.9,56800,1,729,120500,1
95,Gun Hill Road,10,1,1,1,86,05/08/2011,1,6.6,0,0,867,,0
96,Gunday,159,4,4,0,152,14/02/2014,3,2.1,0,0,1393,,0
97,The Gunman,2816,1,4,1,115,20/03/2015,1,5.8,32350,1,454,45200,1
98,Gunnin' for That #1 Spot,14,1,3,1,90,27/06/2008,1,6.4,0,0,0,,0
99,Guru,76,4,6,1,166,12/01/2007,3,7.8,0,0,1024,,0
100,Gurukulam,11,5,3,1,108,03/06/2016,1,7.4,0,0,0,,0
101,Guy and Madeline on a Park Bench,5,1,1,1,82,05/11/2010,1,6.1,0,0,196,54700,1
102,Guzaarish,108,4,2,1,126,19/11/2010,3,7.5,0,0,1004,,0
103,The Wolf of Wall Street,2557,1,6,1,180,25/12/2013,1,8.2,91233.33333,1,885,42800,1
104,Wolf Totem,5,6,9,1,121,11/09/2015,5,6.7,0,0,796,21000,1
105,The Wolfman,3223,1,1,1,103,12/02/2010,1,5.8,41000,1,1045,90100,1
106,The Wolfpack,94,1,3,1,90,12/06/2015,1,7,0,0,912,,0
107,The Wolverine,3924,1,4,1,126,26/07/2013,1,6.7,96700,1,728,78200,1
108,Wolves,12,3,4,1,91,14/11/2014,1,5.3,0,0,685,,0
109,The Woman in Black,2856,2,1,1,95,03/02/2012,1,6.4,0,0,723,18100,1
110,The Woman in Black 2: Angel of Death,2602,2,1,1,98,02/01/2015,1,4.9,0,0,603,,0
111,Woman in Gold,2011,2,6,1,109,01/04/2015,1,7.3,43350,1,946,,0
112,The Woman in the Fifth,14,3,1,1,84,15/06/2012,1,5.3,17700,1,613,,0
113,Woman Thou Art Loosed: On the 7th Day,106,1,1,1,101,13/04/2012,1,4.9,42500,1,300,,0
114,The Woman Who Left,1,6,1,1,226,19/05/2017,1,7.9,0,0,168,,0
115,A Woman's Life,4,3,1,1,119,05/05/2017,2,6.8,0,0,0,,0
116,"A Woman, a Gun and a Noodle Shop",23,6,2,1,95,03/09/2010,5,5.7,0,0,260,,0
117,"A Woman, a Part",3,1,1,0,97,22/03/2017,1,5.7,0,0,0,,0
118,Women in Trouble,3,1,2,1,92,13/11/2009,1,5.8,53600,1,1115,,0
119,The Women on the 6th Floor,17,3,2,0,102,07/10/2011,2,7.1,0,0,282,,0
120,The Women's Balcony,34,6,2,1,96,03/03/2017,9,7.1,0,0,0,,0
121,!Women Art Revolution,4,1,3,1,83,01/06/2011,1,6.8,0,0,0,,0
122,Won't Back Down,2517,1,1,1,121,28/09/2012,1,6.4,56466.66667,1,1084,11700,1
123,Wonder Woman,682,6,4,1,141,17/11/2017,1,7.6,121950,1,594,223500,1
124,The Wonder of It All,39,1,3,1,82,17/07/2009,1,7.2,0,0,0,,0
125,Wonder Wheel,682,1,1,1,101,01/12/2017,1,6.2,36050,1,703,13400,1
126,Wonder Woman,4165,6,4,1,141,02/06/2017,1,7.6,121950,1,594,223500,1
127,Wonderful Town,1,6,1,0,92,18/07/2008,25,6.6,0,0,100,,0
128,Wonderful World,4,1,1,1,89,08/01/2010,1,6.2,36200,1,777,,0
129,The Wonders,15,6,1,0,110,30/10/2015,15,6.6,0,0,1010,,0
130,Wonderstruck,261,1,1,1,117,20/10/2017,1,6.9,35800,1,1348,,0
131,Woodlawn,1553,1,1,1,123,16/10/2015,1,6.5,0,0,413,10100,1
132,The Woodmans,3,1,3,0,82,19/01/2011,1,7,0,0,100,,0
133,The Word,1,6,1,1,97,14/03/2014,21,5.1,0,0,1499,,0
134,The Words,2801,1,1,1,102,07/09/2012,1,7.1,39500,1,613,11500,1
135,Words and Pictures,216,1,2,1,111,23/05/2014,1,6.6,21000,1,607,,0
136,The Work,2,1,3,1,89,27/10/2017,1,8.2,0,0,939,,0
137,The World of Kanako,12,6,1,0,118,04/12/2015,6,6.6,0,0,579,,0
138,The World Unseen,3,6,1,1,93,07/11/2008,1,6.8,0,0,467,,0
139,World War Z,3607,1,4,1,116,21/06/2013,1,7,76300,1,947,57200,1
140,The World's End,1553,2,4,1,109,23/08/2013,1,7,0,0,1304,40500,1
141,World's Greatest Dad,30,1,2,1,99,21/08/2009,1,6.9,66900,1,1186,119,1
142,Worlds Apart,2,6,1,1,113,13/01/2017,22,7.6,0,0,432,,0
143,The Worst Movie Ever!,2,1,4,1,76,19/08/2011,1,4.3,0,0,0,,0
144,The Wound,2,6,1,1,88,15/03/2017,60,7.1,0,0,808,,0
145,Mi America,1,1,5,1,90,16/10/2015,1,7,0,0,543,,0
146,MI-5,682,2,4,1,104,04/12/2015,1,6.2,0,0,1012,,0
147,Mia and the Migoo,1,3,7,1,92,25/03/2011,2,6.7,0,0,0,,0
148,Mia Madre,35,6,1,1,106,26/08/2016,15,6.8,0,0,523,,0
149,Partners in Time: The Making of 'MIB 3',4248,1,11,1,0,25/05/2012,1,6.1,0,0,0,,0
150,Michael Clayton,2585,1,5,1,119,05/10/2007,1,7.3,40350,1,915,67600,1
