,Theaters,Country,Genre,Rated,Runtime,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends,Total Gross
1761,-0.5666024401114748,-0.34878217496510744,-0.9286094356337163,0.37115844926801334,0.04370397209014047,-0.32375513173963344,-0.22378053585663518,0.7349594228011237,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,0.2983259519724649,-0.31200850034484295
1775,-0.05117924297140024,-0.8147228411347105,0.7932494321544179,0.37115844926801334,-0.15066073669120292,-0.32375513173963344,-0.5868504439244641,1.0208441745241443,1.3703613295078054,0.7405019874263378,2.272356587141346,-0.45726077156549416,-0.2827786569508504
1782,1.5612914930356219,0.11715849120449566,1.1376212057120447,0.37115844926801334,-0.500517212497621,-0.32375513173963344,0.1392893722111929,0.4844418568582705,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,-1.4655118453311147,3.790298047545327
1799,-0.5673905489756033,1.5149804897133048,0.10450588503916422,0.37115844926801334,0.23806868087148386,-0.011070482522848585,-0.5868504439244641,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.0203413235014256,-0.3123786427336155
1803,2.6512460521254124,-0.8147228411347105,1.1376212057120447,0.37115844926801334,0.08257691384640915,-0.32375513173963344,0.5931267572959786,0.6067533743480165,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,0.8084673067178386,3.017080202875833
1806,2.618933588696142,-0.8147228411347105,1.1376212057120447,0.37115844926801334,-0.03404191142239688,-0.32375513173963344,-0.49608296690750725,1.5690355541167407,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,0.1852285761562736,0.7809608548313255
1808,-0.5602975691984463,-0.8147228411347105,-0.5842376620760895,-2.6864802042256204,-0.7337548630352331,-0.32375513173963344,-1.8575951221618645,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,1.1742290327616913,-0.3120817634158049
1823,-0.5547808071495465,-0.34878217496510744,-0.23986588851846263,0.37115844926801334,-0.26727956196000896,-0.32375513173963344,0.23005684922815053,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.6521732703125473,-0.30582064112403123
1827,-0.5673905489756033,-0.34878217496510744,-0.9286094356337163,0.37115844926801334,-0.7337548630352331,-0.32375513173963344,-0.3145480128735928,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.28641154426869453,-0.3125784821110415
1843,1.31146098310687,-0.8147228411347105,-0.5842376620760895,0.37115844926801334,-3.9602090288055334,-0.32375513173963344,0.5023592802790218,1.1534711211997724,1.3703613295078054,1.1786380233635088,2.272356587141346,-1.4655118453311147,0.5303432350978101
