Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Jekyll and Hyde... Together Again,1982,R,25 Feb 1983,87 min,"Sci-Fi, Comedy, Music",Jerry Belson,"Monica Mcgowan Johnson, Harvey Miller, Jerry Belson, Michael Leeson, Robert Louis Stevenson (novel)","Mark Blankfield, Bess Armstrong, Krista Errickson, Tim Thomerson",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,949,tt0084171,movie,03 Jun 2008,N/A,Paramount Pictures,N/A,b'Par.',"b'$3,792,188'",b'300',"b'$819,476'",b'300',b'10/1/1982'
Jellyfish,2013,N/A,31 Aug 2013,91 min,"Comedy, Drama",Shûsuke Kaneko,"Sarie Hinakura (based on the novel by), Miyuki Takahashi (screenplay)","Mio Ohtani, Rumi Hanai, Naomi Akimoto, Yû Chidai",Japanese,Japan,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,10,tt2796428,movie,N/A,N/A,N/A,N/A,b'Zeit.',"b'$341,221'",b'14',"b'$25,352'",b'4',b'4/4/2008'
Jellyfish Eyes,2013,NOT RATED,23 Apr 2013,101 min,"Comedy, Fantasy",Takashi Murakami,"Takashi Murakami (story), Yoshihiro Nishimura (screenplay), Jun Tsugita (screenplay)","Takuto Sueoka, Himeka Asami, Masataka Kubota, Shôta Sometani",Japanese,Japan,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,4.8,278,tt2006181,movie,08 Dec 2015,"$5,532",Janus Films,http://jellyfisheyesthemovie.com/,b'Jan.',"b'$8,176'",b'1',"b'$1,927'",b'1',b'7/15/2015'
Jem and the Holograms,2015,PG,23 Oct 2015,118 min,"Adventure, Drama, Fantasy",Jon M. Chu,"Ryan Landels (screenplay by), Christy Marx (animated series)","Aubrey Peeples, Stefanie Scott, Aurora Perrineau, Hayley Kiyoko",English,USA,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,4.1,"5,675",tt3614530,movie,19 Jan 2016,N/A,Universal Pictures,http://www.jemthemovie.com/,b'Uni.',"b'$2,184,640'","b'2,417'","b'$1,375,320'","b'2,413'",b'10/23/2015'
Jennifer 8,1992,R,06 Nov 1992,124 min,"Crime, Drama, Mystery",Bruce Robinson,Bruce Robinson,"Andy Garcia, Lance Henriksen, Uma Thurman, Graham Beckel",English,USA,5 wins.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}]",N/A,6.2,"13,041",tt0104549,movie,11 Apr 2000,N/A,Paramount Home Video,N/A,b'Par.',"b'$11,390,479'","b'1,002'","b'$3,619,666'",b'967',b'11/6/1992'
Jennifer's Body,2009,R,18 Sep 2009,102 min,"Comedy, Horror",Karyn Kusama,Diablo Cody,"Megan Fox, Amanda Seyfried, Johnny Simmons, Adam Brody","English, Spanish",USA,3 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,5.1,"98,285",tt1131734,movie,29 Dec 2009,"$16,031,583",20th Century Fox,http://www.jennifersbody.com/,b'Fox',"b'$16,204,793'","b'2,738'","b'$6,868,397'","b'2,702'",b'9/18/2009'
Jenny's Wedding,2015,PG-13,31 Jul 2015,94 min,"Comedy, Drama",Mary Agnes Donoghue,Mary Agnes Donoghue (screenplay),"Katherine Heigl, Tom Wilkinson, Linda Emond, Grace Gummer",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,5.5,"7,885",tt3289712,movie,29 Dec 2015,N/A,IFC Films,N/A,b'IFC',"b'$4,704'",b'2',"b'$2,254'",b'2',b'7/31/2015'
Jeremiah Johnson,1972,GP,10 Sep 1972,108 min,"Adventure, Drama, Western",Sydney Pollack,"Vardis Fisher (novel), Raymond W. Thorp (story ""Crow Killer""), Robert Bunker (story ""Crow Killer""), John Milius (screenplay), Edward Anhalt (screenplay)","Robert Redford, Will Geer, Delle Bolton, Josh Albee","English, Crow, French",USA,1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",N/A,7.6,"23,104",tt0068762,movie,30 Oct 1997,N/A,Warner Home Video,N/A,b'WB',b'n/a',b'n/a',b'n/a',b'n/a',b'12/21/1972'
Jeremiah Tower: The Last Magnificent,2016,R,21 Apr 2017,103 min,"Documentary, Biography",Lydia Tenaglia,N/A,"Mario Batali, Anthony Bourdain, Francesca De Luca, Rocston Issock",English,"Mexico, USA",N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.7,93,tt5163286,movie,N/A,N/A,N/A,N/A,b'Orch.',"b'$228,153'",b'33',"b'$20,268'",b'2',b'4/21/2017'
Jeremy Scott: The People's Designer,2015,PG-13,18 Sep 2015,110 min,Documentary,Vlad Yudin,N/A,"Jeremy Scott, Devon Aoki, Eva Chen, Miley Cyrus",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,171,tt4005668,movie,N/A,"$225,000",THE VLADAR COMPANY,N/A,b'VLA',b'n/a',b'12',b'n/a',b'12',b'9/18/2015'
