num,Title,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends,Total Gross
160,Midnight in Paris,1038,6,2,1,94,20/05/2011,1,7.7,67650,1,13400,1,682,56817045
161,The Midnight Meat Train,102,1,8,1,100,01/08/2008,1,6.1,113400,1,0,0,558,83361
162,Midnight Special,521,1,1,1,112,18/03/2016,1,6.7,57100,1,7000,1,574,3712282
163,Midnight's Children,17,5,1,1,146,26/04/2013,1,6.2,0,0,0,0,528,190022
165,The Midwife,44,3,1,0,117,21/07/2017,2,6.9,0,0,0,0,1201,603582
166,Mifune: The Last Samurai,9,6,3,0,80,25/11/2016,1,7.3,0,0,0,0,346,62279
167,A Mighty Heart,1355,1,6,1,108,22/06/2007,1,6.7,68100,1,1000,1,619,9176787
168,The Mighty Macs,975,1,1,1,99,21/10/2011,1,6.5,54600,1,0,0,778,1891936
169,Mike and Dave Need Wedding Dates,3008,1,9,1,98,08/07/2016,19,6,48600,1,0,0,579,46009673
170,Miles,2,1,2,0,90,09/06/2017,1,5.4,0,0,0,0,1399,2537
171,Miles Ahead,527,1,6,1,100,01/04/2016,1,6.4,69450,1,2600,1,775,2610896
172,Milk,882,1,6,1,128,26/11/2008,1,7.6,33450,1,18000,1,873,31841299
173,The Milk of Sorrow,2,6,1,1,94,27/08/2010,4,6.7,0,0,0,0,276,10462
174,The Mill and the Cross,17,6,1,1,92,14/09/2011,1,6.9,10600,1,0,0,286,312187
175,Million Dollar Arm,3019,1,6,1,124,16/05/2014,1,7,70550,1,19900,1,767,36457627
176,A Million Ways to Die in the West,3160,1,2,1,116,30/05/2014,1,6.1,65666.66667,1,114500,1,1235,43139300
179,The Miners' Hymns,1,2,1,0,52,08/02/2012,1,7.2,0,0,0,0,0,6051
180,Minimalism: A Documentary About the Important Things,80,1,3,1,79,24/05/2016,1,6.7,0,0,0,0,100,261865
181,Minions,4311,1,7,1,91,10/07/2015,1,6.4,65600,1,0,0,1465,336045770
182,The Ministers,2,1,5,1,89,16/10/2009,1,4.5,37400,1,0,0,539,4447
183,Miracle at St. Anna,1185,1,4,1,160,26/09/2008,1,6,42000,1,18100,1,828,7919117
185,Miracles from Heaven,3155,1,6,1,109,16/03/2016,1,7,45500,1,0,0,783,61705123
186,Miral,29,3,1,1,112,25/03/2011,1,6.3,0,0,2700,1,788,373420
187,Mirror Mirror,3618,1,9,1,106,30/03/2012,1,5.6,54066.66667,1,0,0,832,64935167
188,Mirrors,2664,1,8,1,110,15/08/2008,1,6.2,39500,1,0,0,1035,30691439
190,Misconceptions,2,1,2,1,95,22/01/2010,1,4.8,0,0,0,0,0,6892
191,Misery Loves Comedy,8,1,3,1,94,24/04/2015,1,6.2,0,0,0,0,696,19634
192,Miss Conception,3,2,2,1,104,06/06/2008,1,4.6,0,0,0,0,380,2134
193,Miss Hill: Making Dance Matter,1,1,3,1,84,23/01/2015,1,7.6,0,0,0,0,0,4706
194,Miss Hokusai,84,6,7,1,93,14/10/2016,6,6.7,0,0,0,0,987,222670
195,Miss India America,3,1,2,1,95,24/03/2016,1,5.5,0,0,0,0,385,1598
198,Miss March,1742,1,2,1,90,13/03/2009,1,5,0,0,0,0,590,4543320
199,Miss Peregrine's Home for Peculiar Children,3835,2,9,1,127,30/09/2016,1,6.7,59200,1,102200,1,1232,87242834
200,Miss Pettigrew Lives for a Day,539,2,2,1,92,07/03/2008,1,7.1,75900,1,0,0,507,12313694
201,Miss Sharon Jones!,12,1,3,0,93,29/07/2016,1,7.3,0,0,0,0,0,120880
202,Miss Sloane,1648,3,1,1,132,25/11/2016,1,7.4,47650,1,23400,1,725,3500605
203,Miss Stevens,2,1,2,0,86,16/09/2016,1,6.3,0,0,0,0,1411,4611
204,Miss You Already,384,2,2,1,112,06/11/2015,1,6.8,35550,1,40700,1,1048,1162653
205,The Missing Person,3,1,1,0,95,20/11/2009,1,6.2,24400,1,0,0,420,17896
206,The Missing Picture,9,6,3,0,92,19/03/2014,2,7.4,0,0,0,0,762,52164
207,Mission Control: The Unsung Heroes of Apollo,15,1,3,1,101,14/04/2017,1,7.6,0,0,0,0,0,16405
208,Mission Park,15,1,4,1,92,06/09/2013,1,5.1,0,0,0,0,1122,54204
209,Mission: Impossible - Ghost Protocol,3555,1,4,1,132,16/12/2011,1,7.4,91900,1,158800,1,0,209397903
210,Mission: Impossible - Rogue Nation,3988,6,4,1,131,31/07/2015,1,7.4,114100,1,93700,1,0,195042377
211,Missionary,10,1,1,1,90,31/10/2014,1,5.2,0,0,0,0,719,2120
212,Mississippi Grind,46,1,2,1,108,25/09/2015,1,6.3,0,0,2500,1,1496,130541
213,The Mist,2423,1,8,1,126,21/11/2007,1,7.2,12300,1,54600,1,1432,25594957
214,Mistaken for Strangers,9,1,3,0,75,28/03/2014,1,7.3,0,0,0,0,620,138991
215,Mister Lonely,8,2,2,0,112,02/05/2008,1,6.4,59100,1,0,0,496,167396
216,Mistress America,512,1,2,1,84,14/08/2015,1,6.7,9200,1,3200,1,598,2500431
217,The Sea of Trees,101,1,1,1,110,26/08/2016,1,5.9,50700,1,18000,1,290,20444
218,Sea Rex 3D: Journey to a Prehistoric World,14,2,3,1,41,28/05/2010,1,6.9,0,0,0,0,0,6096582
219,Search Engines,6,1,2,1,98,14/10/2016,1,4.5,0,0,0,0,539,19033
220,The Search for General Tso,13,1,3,0,71,02/01/2015,1,6.9,0,0,0,0,490,54275
221,Search Party,10,1,9,1,93,13/05/2016,1,5.6,0,0,0,0,1135,4571
222,Searching for Sugar Man,157,6,3,1,86,27/07/2012,1,8.2,0,0,0,0,792,3696196
223,Season of the Witch,2827,1,4,1,95,07/01/2011,1,5.4,41600,1,41800,1,674,24827228
224,Seasons,22,3,3,1,97,25/11/2016,2,7.2,0,0,0,0,1809,150092
225,The Seasons in Quincy: Four Portraits of John Berger,2,2,3,1,90,31/08/2016,1,7.2,38800,1,0,0,0,28456
226,Seasons of Gray,24,1,1,1,90,18/10/2013,1,6.4,0,0,0,0,676,70605
227,The Second Best Exotic Marigold Hotel,2022,2,2,1,122,06/03/2015,1,6.6,42200,1,23400,1,615,33078266
228,The Second Mother,223,6,2,1,112,28/08/2015,10,7.8,0,0,0,0,809,376986
229,A Secret,11,3,1,0,105,05/09/2008,2,6.9,0,0,0,0,473,623558
231,The Secret in Their Eyes,166,6,1,1,129,16/04/2010,4,8.2,0,0,0,0,815,6391436
232,The Secret Life of Bees,1630,1,1,1,114,17/10/2008,1,7.3,63650,1,26600,1,1365,37770162
234,The Secret Life of Pets,4381,6,7,1,87,08/07/2016,1,6.6,69000,1,300500,1,859,368384330
235,The Secret Life of Walter Mitty,2922,1,9,1,114,25/12/2013,1,7.3,72450,1,54000,1,1134,58236838
236,The Secret of Kells,37,3,7,0,75,05/03/2010,1,7.7,40900,1,0,0,1586,676775
237,The Secret of the Grain,3,3,1,0,151,24/12/2008,2,7.4,0,0,0,0,199,86356
240,The Secret World of Arrietty,1522,6,7,1,94,17/02/2012,6,7.6,0,0,0,0,545,19202743
241,Secretariat,3108,1,6,1,123,08/10/2010,1,7.2,37350,1,71600,1,690,59713955
242,The Secrets,9,3,1,1,127,26/11/2008,9,7.1,0,0,0,0,1266,122094
243,The Secrets of Jonathan Sperry,135,1,1,1,96,18/09/2009,1,6.9,0,0,0,0,444,1355079
244,Sedona,3,1,9,0,90,16/03/2012,1,5.2,0,0,0,0,871,21638
245,See What I'm Saying: The Deaf Entertainers Documentary,21,1,3,1,91,19/03/2010,1,7.9,0,0,0,0,0,118206
246,Seed: The Untold Story,35,1,3,1,94,22/08/2016,1,7.3,0,0,0,0,0,207825
247,Seeds of Time,2,1,3,1,77,22/05/2015,1,7.6,0,0,0,0,192,4630
248,The Seeker: The Dark Is Rising,3173,1,9,1,99,05/10/2007,1,4.8,0,0,0,0,562,8794452
249,Seeking a Friend for the End of the World,1625,1,9,1,101,22/06/2012,1,6.7,94600,1,5700,1,380,7078738
250,Seeking Justice,231,1,4,1,105,16/03/2012,1,6.2,40300,1,30200,1,1315,411746
251,The Making of Self-Medicated,16,1,3,1,63,31/08/2007,1,6.350375411,0,0,0,0,0,100610
252,Self/less,2353,1,4,1,117,10/07/2015,1,6.5,38300,1,0,0,0,12279691
253,The Selfish Giant,6,2,1,0,91,20/12/2013,1,7.3,0,0,0,0,675,12189
254,Selma,2235,2,6,1,128,25/12/2014,1,7.5,36900,1,17500,1,1163,52076908
255,Sembene!,3,6,3,1,89,13/11/2015,1,7.6,0,0,0,0,0,28059
256,Semi-Pro,3121,1,2,1,91,29/02/2008,1,5.8,61500,1,0,0,941,33479698
257,Senna,47,2,3,1,106,12/08/2011,1,8.6,0,0,0,0,789,1612430
258,The Sense of an Ending,282,2,1,1,108,10/03/2017,1,6.3,25900,1,0,0,865,1274420
259,Seondal: The Man Who Sells the River,7,6,2,1,120,14/07/2016,7,6.7,0,0,0,0,0,97477
260,Seoul Searching,2,6,2,1,105,17/06/2016,1,7.4,0,0,4600,1,632,18654
261,A Separation,282,6,1,1,123,30/12/2011,24,8.4,0,0,0,0,1035,7099055
262,September Dawn,857,1,1,1,111,24/08/2007,72,5.8,0,0,0,0,612,1066555
263,The September Issue,143,1,3,1,90,28/08/2009,1,7,0,0,27100,1,1084,3820067
