,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Total Gross,Actorinfluenceaverage,Actorinfluencemax,googletrends,Average Gross for each movie
108,Wolves,2014,12,France,Action,Rated,91,2014-11-14,English,5.3,12139.0,0.0,0.0,685.0,
109,The Woman in Black,2012,2856,UK,Drama,Rated,95,2012-02-03,English,6.4,54333290.0,0.0,0.0,723.0,18100.0
110,The Woman in Black 2: Angel of Death,2014,2602,UK,Drama,Rated,98,2015-01-02,English,4.9,26501323.0,0.0,0.0,603.0,
111,Woman in Gold,2015,2011,UK,Biography,Rated,109,2015-04-01,English,7.3,33307793.0,43350.0,53100.0,946.0,
112,The Woman in the Fifth,2011,14,France,Drama,Rated,84,2012-06-15,English,5.3,113800.0,17700.0,17700.0,613.0,
113,Woman Thou Art Loosed: On the 7th Day,2012,106,USA,Drama,Rated,101,2012-04-13,English,4.9,1213128.0,42500.0,42500.0,300.0,
114,The Woman Who Left,2016,1,Philippines,Drama,Rated,226,2017-05-19,English,7.9,3974.0,0.0,0.0,168.0,
115,A Woman's Life,2016,4,France,Drama,Rated,119,2017-05-05,French,6.8,37626.0,0.0,0.0,0.0,
116,"A Woman, a Gun and a Noodle Shop",2009,23,China,Comedy,Rated,95,2010-09-03,Mandarin,5.7,190946.0,0.0,0.0,260.0,
117,"A Woman, a Part",2016,3,USA,Drama,Unrated,97,2017-03-22,English,5.7,23562.0,0.0,0.0,0.0,
118,Women in Trouble,2009,3,USA,Comedy,Rated,92,2009-11-13,English,5.8,18097.0,53600.0,54600.0,1115.0,
119,The Women on the 6th Floor,2010,17,France,Comedy,Unrated,102,2011-10-07,French,7.1,719823.0,0.0,0.0,282.0,
120,The Women's Balcony,2016,34,Israel,Comedy,Rated,96,2017-03-03,Hebrew,7.1,1194092.0,0.0,0.0,0.0,
121,!Women Art Revolution,2010,4,USA,Documentary,Rated,83,2011-06-01,English,6.8,52681.0,0.0,0.0,0.0,
122,Won't Back Down,2012,2517,USA,Drama,Rated,121,2012-09-28,English,6.4,5310554.0,56466.66666666666,79200.0,1084.0,11700.0
123,Wonder Woman,2017,0,Hong Kong,Action,Rated,141,2017-11-17,English,7.6,0.0,121950.0,156400.0,594.0,223500.0
124,The Wonder of It All,2007,39,USA,Documentary,Rated,82,2009-07-17,English,7.2,781016.0,0.0,0.0,0.0,
125,Wonder Wheel,2017,0,USA,Drama,Rated,101,2017-12-01,English,6.2,0.0,36050.0,47900.0,703.0,13400.0
126,Wonder Woman,2017,4165,Hong Kong,Action,Rated,141,2017-06-02,English,7.6,412563408.0,121950.0,156400.0,594.0,223500.0
127,Wonderful Town,2007,1,Thailand,Drama,Unrated,92,2008-07-18,Thai,6.6,4487.0,0.0,0.0,100.0,
128,Wonderful World,2009,4,USA,Drama,Rated,89,2010-01-08,English,6.2,9309.0,36200.0,39800.0,777.0,
129,The Wonders,2014,15,Italy,Drama,Unrated,110,2015-10-30,Italian,6.6,73378.0,0.0,0.0,1010.0,
130,Wonderstruck,2017,261,USA,Drama,Rated,117,2017-10-20,English,6.9,580042.0,35800.0,35800.0,1348.0,
131,Woodlawn,2015,1553,USA,Drama,Rated,123,2015-10-16,English,6.5,14394097.0,0.0,0.0,413.0,10100.0
132,The Woodmans,2010,3,USA,Documentary,Unrated,82,2011-01-19,English,7.0,46623.0,0.0,0.0,100.0,
133,The Word,2014,1,Poland,Drama,Rated,97,2014-03-14,Polish,5.1,3648.0,0.0,0.0,1499.0,
134,The Words,2012,2801,USA,Drama,Rated,102,2012-09-07,English,7.1,11494838.0,39500.0,47700.0,613.0,11500.0
135,Words and Pictures,2013,216,USA,Comedy,Rated,111,2014-05-23,English,6.6,2171257.0,21000.0,21000.0,607.0,
136,The Work,2017,2,USA,Documentary,Rated,89,2017-10-27,English,8.2,5853.0,0.0,0.0,939.0,
137,The World of Kanako,2014,12,Japan,Drama,Unrated,118,2015-12-04,Japanese,6.6,16627.0,0.0,0.0,579.0,
138,The World Unseen,2007,3,South Africa,Drama,Rated,93,2008-11-07,English,6.8,17808.0,0.0,0.0,467.0,
139,World War Z,2013,3607,USA,Action,Rated,116,2013-06-21,English,7.0,202359711.0,76300.0,87800.0,947.0,57200.0
140,The World's End,2013,1553,UK,Action,Rated,109,2013-08-23,English,7.0,26004851.0,0.0,0.0,1304.0,40500.0
141,World's Greatest Dad,2009,30,USA,Comedy,Rated,99,2009-08-21,English,6.9,221805.0,66900.0,66900.0,1186.0,119.0
142,Worlds Apart,2015,2,Greece,Drama,Rated,113,2017-01-13,Greek,7.6,60298.0,0.0,0.0,432.0,
143,The Worst Movie Ever!,2011,2,USA,Action,Rated,76,2011-08-19,English,4.3,25206.0,0.0,0.0,0.0,
144,The Wound,2017,2,South Africa,Drama,Rated,88,2017-03-15,Xhosa,7.1,30678.0,0.0,0.0,808.0,
145,Mi America,2015,1,USA,Crime,Rated,90,2015-10-16,English,7.0,3330.0,0.0,0.0,543.0,
146,MI-5,2015,0,UK,Action,Rated,104,2015-12-04,English,6.2,0.0,0.0,0.0,1012.0,
147,Mia and the Migoo,2008,1,France,Animation,Rated,92,2011-03-25,French,6.7,16975.0,0.0,0.0,0.0,
148,Mia Madre,2015,35,Italy,Drama,Rated,106,2016-08-26,Italian,6.8,303002.0,0.0,0.0,523.0,
149,Partners in Time: The Making of 'MIB 3',2012,4248,USA,Short,Rated,0,2012-05-25,English,6.1,179020854.0,0.0,0.0,0.0,
150,Michael Clayton,2007,2585,USA,Crime,Rated,119,2007-10-05,English,7.3,49033882.0,40350.0,53300.0,915.0,67600.0
151,All Access: Making Michael Jackson's This Is It,2010,3481,USA,Documentary,Rated,0,2009-10-28,English,8.2,72091016.0,0.0,0.0,0.0,
152,Michael Moore in TrumpLand,2016,51,USA,Documentary,Unrated,73,2016-10-19,English,5.9,149090.0,149.0,149.0,126.0,21200.0
153,Micmacs,2009,52,France,Action,Rated,105,2010-05-28,French,7.2,1262079.0,0.0,0.0,1543.0,13200.0
154,Microbe & Gasoline,2015,9,France,Adventure,Rated,105,2016-07-01,French,6.7,63802.0,0.0,0.0,0.0,13500.0
