,Title,Theaters,Country,Genre,Rated,Runtime,Open,Director,Language,imdbRating,Total Gross,last year_totalgross,genre_gross,count_num,googletrends,Actorinfluenceave,Total Gross(Million),Movie involved,Average Gross for each movie
53,27 Dresses,3074,USA,Comedy,Rated,111,2008-01-18,Anne Fletcher,English,6.1,76808654.0,9767268194.0,1427703732.0,16,882.0,0.0,377800.0,5.0,75600.0
54,Hot Pursuit,3037,USA,Action,Rated,87,2015-05-08,Anne Fletcher,English,5.1,34580201.0,10354970864.0,2268082751.0,45,497.0,48500.0,377800.0,5.0,75600.0
55,The Proposal,3158,USA,Comedy,Rated,108,2009-06-19,Anne Fletcher,English,6.7,163958031.0,9750709587.0,2099450726.0,24,785.0,61750.0,377800.0,5.0,75600.0
56,Gulliver's Travels,3089,USA,Adventure,Rated,85,2010-12-25,Rob Letterman,English,4.9,42779261.0,10639535233.0,2818706120.0,19,729.0,56800.0,482100.0,4.0,120500.0
57,Goosebumps,3618,USA,Adventure,Rated,103,2015-10-16,Rob Letterman,English,6.3,80080379.0,10354970864.0,3199663674.0,53,745.0,67400.0,482100.0,4.0,120500.0
58,The Gunman,2816,USA,Action,Rated,115,2015-03-20,Pierre Morel,English,5.8,10664749.0,10354970864.0,2268082751.0,33,454.0,32350.0,180900.0,4.0,45200.0
59,From Paris with Love,2722,France,Action,Rated,92,2010-02-05,Pierre Morel,English,6.5,24077427.0,10639535233.0,2041030428.0,22,858.0,36550.0,180900.0,4.0,45200.0
60,Guy and Madeline on a Park Bench,5,USA,Drama,Rated,82,2010-11-05,Damien Chazelle,English,6.1,35556.0,10639535233.0,1834327761.0,26,196.0,0.0,164200.0,3.0,54700.0
61,Whiplash,567,USA,Drama,Rated,107,2014-10-10,Damien Chazelle,English,8.5,13092000.0,10893180888.0,1338281892.0,56,582.0,40700.0,164200.0,3.0,54700.0
62,The Wolf of Wall Street,2557,USA,Biography,Rated,180,2013-12-25,Martin Scorsese,English,8.2,116900694.0,11041914748.0,,27,885.0,91233.33333333331,1027900.0,24.0,42800.0
63,Shine a Light,277,USA,Documentary,Rated,122,2008-04-04,Martin Scorsese,English,7.2,5505267.0,9767268194.0,70723219.0,34,845.0,0.0,1027900.0,24.0,42800.0
