,Person,Total Gross(Million),Movie involved,Average Gross for each movie,Most profitbale movie,Gross of most profitable
654,Benicio Del Toro,948500.0,31.0,30600.0,Guardians of the Galaxy,333200.0
655,Ron Perlman,942000.0,23.0,41000.0,Fantastic Beasts and Where To Find Them,234000.0
656,Jennifer Connelly,941900.0,33.0,28500.0,A Beautiful Mind,170700.0
657,Daisy Ridley,936700.0,1.0,936700.0,Star Wars: The Force Awakens,936700.0
658,Jake Gyllenhaal,933100.0,27.0,34600.0,The Day After Tomorrow,186700.0
659,Johnny Knoxville,931200.0,16.0,58200.0,Ninja Turtles,191200.0
660,Hugh Grant,930500.0,28.0,33200.0,Notting Hill,116100.0
661,Jason Segel,929400.0,15.0,62000.0,Despicable Me,251500.0
662,Julie Andrews,927300.0,14.0,66200.0,Despicable Me 3,263600.0
663,Winona Ryder,916600.0,36.0,25500.0,Mr. Deeds,126300.0
664,Joel David Moore,915100.0,14.0,65400.00000000001,Avatar,760500.0
665,Ellen DeGeneres,912600.0,6.0,152100.0,Finding Dory,486300.0
666,Casey Affleck,911500.0,23.0,39600.0,Interstellar,188000.0
667,Rob Riggle,906800.0,12.0,75600.0,The Lorax,214000.0
668,Charlie Sheen,905900.0,31.0,29200.0,Platoon,138500.0
669,Thandie Newton,904000.0,23.0,39300.0,Mission: Impossible II,215400.0
670,Dave Franco,902800.0,10.0,90300.0,The LEGO Movie,257800.0
671,Cillian Murphy,899600.0,18.0,50000.0,Inception,292600.0
672,Jason Sudeikis,896900.0,18.0,49800.0,We're the Millers,150400.0
673,Rob Schneider,895100.0,17.0,52700.0,Big Daddy,163500.0
674,Tim Robbins,890500.0,38.0,23400.0,War of the Worlds,234300.0
675,Hugh Laurie,890300.0,17.0,52400.0,Monsters Vs. Aliens,198400.0
676,Nicholas Hoult,887600.0,14.0,63400.0,X-Men: Days of Future Past,233900.0
677,Diego Luna,886800.0,15.0,59100.0,Rogue One,532200.0
678,Amanda Peet,882000.0,26.0,33900.0,2012,166100.0
679,Angela Bassett,881100.0,25.0,35200.0,Green Lantern,116600.0
680,Aaron Johnson,874300.0,12.0,72900.0,Avengers: Age of Ultron,459000.0
681,Eva Mendes,873400.0,19.0,46000.0,Hitch,179500.0
682,Carrie-Anne Moss,872500.0,17.0,51300.0,The Matrix Reloaded,281600.0
683,Henry Cavill,868200.0,10.0,86800.0,Batman v Superman,330400.0
684,Hayden Christensen,867700.0,10.0,86800.0,Revenge of the Sith,380300.0
685,Sean Penn,867600.0,39.0,22200.0,Angry Birds,107500.0
686,Matt Dillon,856000.0,39.0,21900.0,Something About Mary,176500.0
687,Joan Allen,854300.0,24.0,35600.0,The Bourne Ultimatum,227500.0
688,Jared Harris,851500.0,27.0,31500.0,Sherlock Holmes 2,186800.0
689,Jon Hamm,845100.0,14.0,60400.0,Minions,336000.0
690,Benjamin Bratt,843400.0,20.0,42200.0,Despicable Me 2,368100.0
691,Mickey Rourke,842300.0,36.0,23400.0,Iron Man 2,312400.0
692,Christopher Plummer,838900.0,20.0,41900.0,National Treasure,173000.0
693,Ethan Hawke,830100.0,47.0,17700.0,Dead Poets Society,95900.0
694,Robin Wright,828900.0,7.0,118400.0,Wonder Woman,412600.0
695,Kate Hudson,825500.0,27.0,30600.0,Kung Fu Panda 3,143500.0
696,Jet Li,822200.0,18.0,45700.0,Lethal Weapon 4,130400.0
697,Leonard Nimoy,820300.0,11.0,74600.0,Star Trek,257700.0
698,Penelope Cruz,817600.0,35.0,23400.0,Pirates of the Caribbean 4,241100.0
699,Tom Holland,815200.0,7.0,116500.0,Captain America 3,408100.0
700,Kenneth Branagh,814300.0,18.0,45200.0,Harry Potter / Chamber of Secrets,262000.0
701,Neil Patrick Harris,811500.0,14.0,58000.0,Gone Girl,167800.0
702,Jake Johnson,811100.0,9.0,90100.0,Jurassic World,652300.0
703,Danny McBride,809700.0,18.0,45000.0,Tropic Thunder,110500.0
704,Donnie Yen,804600.0,13.0,61900.0,Rogue One,532200.0
705,Chris Tucker,797700.0,9.0,88600.0,Rush Hour 2,226200.0
706,Nia Long,796500.0,22.0,36200.0,Big Momma's House,117600.0
707,Topher Grace,796000.0,13.0,61200.0,Spider-Man 3,336500.0
708,Nick Swardson,792500.0,13.0,61000.0,Grown Ups 2,133700.0
709,Josh Lucas,791100.0,24.0,33000.0,A Beautiful Mind,170700.0
710,Chloe Moretz,786700.0,20.0,39300.0,The Equalizer,101500.0
711,Katherine Heigl,785400.0,18.0,43600.0,Knocked Up,148800.0
712,Patrick Wilson,783300.0,20.0,39200.0,The Conjuring,137400.0
713,Chris O'Donnell,779300.0,19.0,41000.0,Batman Forever,184000.0
714,Evangeline Lilly,779200.0,4.0,194800.0,The Hobbit 2,258399.99999999997
715,Melissa Leo,778200.0,30.0,25900.0,The Equalizer,101500.0
716,Vera Farmiga,777700.0,24.0,32400.0,The Conjuring,137400.0
717,Seth MacFarlane,777500.0,7.0,111100.0,Sing,270300.0
718,John Slattery,774600.0,12.0,64599.99999999999,Iron Man 2,312400.0
719,Uma Thurman,774400.0,31.0,25000.0,Pulp Fiction,107900.0
720,Jessica Biel,772900.0,24.0,32200.000000000004,I Now Pronounce You Chuck and Larry,120100.0
721,Karen Gillan,771200.0,5.0,154200.0,Guardians of the Galaxy 2,389800.0
722,Marlon Wayans,765600.0,17.0,45000.0,Scary Movie,157000.0
723,Ricky Gervais,764600.0,10.0,76500.0,Night at the Museum,250900.0
724,Michael Cera,763100.0,15.0,50900.0,The LEGO Batman Movie,175800.0
725,Bette Midler,754500.0,20.0,37700.0,First Wives Club,105500.0
726,Alan Alda,753000.0,22.0,34200.0,What Women Want,182800.0
727,Ryan Gosling,745800.0,22.0,33900.0,La La Land,151100.0
728,Jemaine Clement,745100.0,13.0,57300.0,Moana,248800.0
729,Christina Ricci,743700.0,35.0,21200.0,Addams Family,113500.0
730,Billy Crudup,739300.0,26.0,28400.0,Mission: Impossible III,134000.0
731,David Spade,738500.0,14.0,52800.0,Hotel Transylvania 2,169700.0
732,Rebecca Hall,734800.0,19.0,38700.0,Iron Man 3,409000.0
733,James Caviezel,730900.0,20.0,36500.0,Passion of the Christ,370800.0
734,Ellen Page,730700.0,16.0,45700.0,Inception,292600.0
735,Tea Leoni,730200.0,13.0,56200.0,Jurassic Park III,181200.0
736,Lucas Black,730200.0,12.0,60800.0,Furious 7,353000.0
737,Sharon Stone,722700.0,34.0,21300.0,Total Recall,119400.0
738,Javier Bardem,722300.0,17.0,42500.0,Skyfall,304400.0
739,Joey King,722200.0,10.0,72200.0,Oz The Great and Powerful,234900.0
740,Michelle Monaghan,719300.0,19.0,37900.0,Mission: Impossible III,134000.0
741,Sam Elliott,718800.0,23.0,31300.0,Hulk,132200.0
742,Matthew Lillard,716700.0,25.0,28700.0,Scooby-Doo,153300.0
743,Macaulay Culkin,712800.0,11.0,64800.0,Home Alone,285800.0
744,Peter Sarsgaard,711900.0,27.0,26400.0,Green Lantern,116600.0
745,Brittany Murphy,706900.0,16.0,44200.0,Happy Feet,198000.0
746,Rosamund Pike,706800.0,19.0,37200.0,Gone Girl,167800.0
747,Rhys Ifans,700200.0,28.0,25000.0,The Amazing Spider-Man,262000.0
748,Andy Samberg,698200.0,12.0,58200.0,Hotel Transylvania 2,169700.0
749,Zachary Levi,697000.0,5.0,139400.0,Alvin and the Chipmunks 2,219600.0
