,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
59,The Kid Stays in the Picture,2002,56,USA,Documentary,R,93,7/26/2002,Nanette Burstein,"['Robert Evans', ' Eddie Albert', ' Peter Bart']",English,7.4,1439232.0
61,The Kid with a Bike,2011,86,Belgium,Drama,PG-13,84,3/16/2012,Jean-Pierre Dardenne,"['Thomas Doret', ' Cécile De France', ' Jérémie Renier']",French,7.4,1470000.0
62,Kidnap,2017,0,USA,Action,R,95,10/2/2008,Luis Prieto,"['Halle Berry', ' Sage Correa', ' Chris McGinn']",English,5.9,0.0
63,The Kidnapping of Michel Houellebecq,2014,1,France,Comedy,Unrated,96,3/25/2015,Guillaume Nicloux,"['Michel Houellebecq', ' Mathieu Nicourt', ' Maxime Lefrançois']",French,6.8,11546.0
65,The Kids Are All Right,2010,994,USA,Comedy,R,106,7/9/2010,Lisa Cholodenko,"['Julianne Moore', ' Annette Bening', ' Mark Ruffalo']",English,7.1,20811365.0
66,Kids for Cash,2013,12,USA,Documentary,PG-13,102,2/7/2014,Robert May,"['Charlie Balasavage', ' Joanne Balasavage', ' Justin Bodnar']",English,7.1,143178.0
67,The Kids Grow Up,2009,1,USA,Documentary,Unrated,90,10/29/2010,Doug Block,['nan'],English,6.8,12095.0
68,Kids in America,2005,701,USA,Comedy,PG-13,91,10/21/2005,Josh Stolberg,"['Gregory Smith', ' Stephanie Sherrin', ' Chris Morris']",English,5.9,537667.0
71,"Kiki, Love to Love",2016,3,Spain,Comedy,Unrated,102,11/11/2016,Paco León,"['Natalia de Molina', ' Álex García', ' Jacobo Sánchez']",Spanish,6.5,12450.0
73,Kill Bill: Vol. 1,2003,3102,USA,Action,R,111,10/10/2003,Quentin Tarantino,"['Uma Thurman', ' Lucy Liu', ' Vivica A. Fox']",English,8.1,70099045.0
74,Kill Bill: Vol. 2,2004,3073,USA,Action,R,137,4/16/2004,Quentin Tarantino,"['Vivica A. Fox', ' Ambrosia Kelley', ' Michael Parks']",English,8.0,66208183.0
75,Kill Command,2016,0,UK,Action,Unrated,99,11/25/2016,Steven Gomez,"['Vanessa Kirby', ' David Ajala', ' Mike Noble']",English,5.7,0.0
76,Kill List,2011,10,UK,Crime,Unrated,95,2/3/2012,Ben Wheatley,"['Neil Maskell', ' MyAnna Buring', ' Harry Simpson']",English,6.4,29063.0
78,Kill Me Three Times,2014,16,USA,Action,R,90,4/10/2015,Kriv Stenders,"['Simon Pegg', ' Steve Le Marquand', ' Alice Braga']",English,5.9,24296.0
79,"Kill Me, Deadly",2015,3,USA,Comedy,,100,4/1/2016,Darrett Sanders,"['Kirsten Vangsness', ' Dean Lemont', ' Lesley-Anne Down']",English,7.4,36027.0
80,The Kill Team,2013,2,USA,Documentary,,79,7/25/2014,Dan Krauss,"['Adam Winfield', ' Christopher Winfield', ' Emma Winfield']",English,7.1,18983.0
81,Kill the Irishman,2011,56,USA,Biography,R,106,3/11/2011,Jonathan Hensleigh,"['Ray Stevenson', "" Vincent D'Onofrio"", ' Val Kilmer']",English,7.1,1188194.0
82,Kill the Messenger,2014,427,USA,Biography,R,112,10/10/2014,Michael Cuesta,"['Jeremy Renner', ' Robert Patrick', ' Jena Sims']",English,7.0,2450846.0
83,Kill the Poor,2003,1,USA,Drama,,85,1/6/2006,Alan Taylor,"['Clara Bellar', ' Jon Budinoff', ' Heather Burns']",English,5.2,0.0
