,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
6252,Dirty Dancing: Havana Nights,2004,2042,USA,Drama,PG-13,86,2/27/2004,Guy Ferland,"['Diego Luna', ' Romola Garai', ' Sela Ward']",English,6.0,14161590.0
6253,Dirty Deeds,2005,64,USA,Comedy,PG-13,87,8/26/2005,David Kendall,"['Milo Ventimiglia', ' Lacey Chabert', ' Tom Amandes']",English,5.9,146490.0
6255,Dirty Girl,2010,10,USA,Comedy,R,90,10/7/2011,Abe Sylvia,"['Jeremy Dozier', ' Juno Temple', ' Zach Lasry']",English,6.5,55125.0
6256,Dirty Grandpa,2016,2912,USA,Comedy,R,102,1/22/2016,Dan Mazer,"['Robert De Niro', ' Zac Efron', ' Zoey Deutch']",English,6.0,35593113.0
6258,Dirty Laundry,2006,2,USA,Comedy,PG-13,100,12/7/2007,Maurice Jamal,"['Rockmond Dunbar', ' Loretta Devine', ' Jenifer Lewis']",English,6.3,20138.0
6259,Dirty Love,2005,44,USA,Comedy,R,91,9/23/2005,John Asher,"['Jenny McCarthy', ' Eddie Kaye Thomas', ' Carmen Electra']",English,3.5,36099.0
6260,Dirty Pretty Things,2002,493,UK,Crime,R,97,7/18/2003,Stephen Frears,"['Chiwetel Ejiofor', ' Audrey Tautou', ' Sergi López']",English,7.4,8112414.0
6262,A Dirty Shame,2004,133,USA,Comedy,NC-17,89,9/17/2004,John Waters,"['Tracey Ullman', ' Johnny Knoxville', ' Selma Blair']",English,5.1,1339668.0
6263,Dirty Wars,2013,31,USA,Documentary,Unrated,87,6/7/2013,Rick Rowley,"['Nasser Al Aulaqi', ' Saleha Al Aulaqi', ' Muqbal Al Kazemi']",English,7.5,384473.0
6265,The Disappearance of Alice Creed,2009,12,UK,Crime,R,100,8/6/2010,J Blakeson,"['Martin Compston', ' Eddie Marsan', ' Gemma Arterton']",English,6.8,166980.0
6266,The Disappearance of Eleanor Rigby: Them,2014,139,USA,Drama,R,123,9/12/2014,Ned Benson,"['James McAvoy', ' Jessica Chastain', ' Nina Arianda']",English,6.3,587774.0
6267,Disappearances,2006,2,USA,Action,PG-13,118,5/4/2007,Jay Craven,"['Kris Kristofferson', ' Charlie McDermott', ' Gary Farmer']",English,5.2,7506.0
6268,The Disappointments Room,2016,1554,USA,Drama,R,85,9/9/2016,D.J. Caruso,"['Kate Beckinsale', ' Mel Raido', ' Duncan Joiner']",English,3.9,2423468.0
6269,The Disaster Artist,2017,0,USA,Biography,R,98,12/1/2017,James Franco,"['Alison Brie', ' James Franco', ' Kristen Bell']",English,8.1,0.0
6270,Disaster Movie,2008,2642,USA,Comedy,PG-13,87,8/29/2008,Jason Friedberg,"['Matt Lanter', ' Vanessa Lachey', "" Gary 'G. Thang' Johnson""]",English,1.9,14190901.0
6271,Dischord,2001,2,USA,Drama,,102,2/28/2003,Mark Wilkinson,"['Annunziata Gianzero', ' Thomas Jay Ryan', ' Richard Bakalyan']",English,5.2,2199.0
6273,Disconnect,2012,180,USA,Drama,R,115,4/12/2013,Henry Alex Rubin,"['Jason Bateman', ' Hope Davis', ' Frank Grillo']",English,7.6,1436900.0
6274,The Discoverers,2012,4,USA,Comedy,TV-14,104,5/16/2014,Justin Schwarz,"['Griffin Dunne', ' Madeleine Martin', ' Cara Buono']",English,5.6,50020.0
6275,Disfigured,2008,1,USA,Drama,,96,7/18/2008,Glenn Gers,"['Deidra Edwards', ' Staci Lawrence', ' Ryan C. Benson']",English,6.7,829.0
6276,Disgrace,2008,9,Australia,Drama,R,119,9/18/2009,Steve Jacobs,"['John Malkovich', ' Jessica Haines', ' Eriq Ebouaney']",English,6.6,69705.0
6277,The Dish,2000,82,Australia,Comedy,PG-13,101,3/16/2001,Rob Sitch,"['Sam Neill', ' Billy Mitchell', ' Roz Hammond']",English,7.2,2552992.0
6278,Dishkiyaoon,2014,11,India,Action,,119,3/28/2014,Sanamjit Singh Talwar,"['Harman Baweja', ' Harsh Chhaya', ' Sunny Deol']",Hindi,5.3,11288.0
6279,Dishoom,2016,113,India,Action,,124,7/29/2016,Rohit Dhawan,"['John Abraham', ' Varun Dhawan', ' Nargis Fakhri']",Hindi,5.1,812737.0
6280,Dislecksia: The Movie,2012,1,USA,Documentary,,83,10/4/2013,Harvey Hubbell V,"['Billy Blanks', ' Sarah Brown', ' Stephen J. Cannell']",English,8.3,33066.0
6281,Disobedience,2017,0,USA,Drama,,114,4/27/2018,Sebastián Lelio,"['Rachel McAdams', ' Rachel Weisz', ' Alessandro Nivola']",nan,7.2,0.0
6282,Disorder,2015,8,France,Drama,Unrated,98,8/12/2016,Alice Winocour,"['Matthias Schoenaerts', ' Diane Kruger', ' Paul Hamy']",French,6.1,39687.0
6285,Distant,2002,2,Turkey,Drama,Unrated,110,3/12/2004,Nuri Bilge Ceylan,"['Muzaffer Özdemir', ' Emin Toprak', ' Zuhal Gencer']",Turkish,7.7,96293.0
6289,District 13: Ultimatum,2009,0,France,Action,R,101,2010,Patrick Alessandrin,"['Cyril Raffaelli', ' David Belle', ' Philippe Torreton']",French,6.5,0.0
6290,District 9,2009,3180,South Africa,Sci-Fi,R,112,8/14/2009,Neill Blomkamp,"['Sharlto Copley', ' Jason Cope', ' Nathalie Boltt']",English,8.0,115646235.0
6291,District B13,2004,151,France,Action,R,84,6/2/2006,Pierre Morel,"['Cyril Raffaelli', ' David Belle', "" Tony D'Amario""]",French,7.2,1200216.0
6292,District of Corruption,2012,3,USA,Documentary,,70,10/26/2012,Stephen K. Bannon,"['Saul Alinsky', ' Tom Fitton', ' Vern McKinley']",English,6.4,31954.0
6293,Disturbia,2007,3132,USA,Drama,PG-13,105,4/13/2007,D.J. Caruso,"['Shia LaBeouf', ' Sarah Roemer', ' Carrie-Anne Moss']",English,6.9,80209692.0
6295,Disturbing the Peace,2016,2,Israel,Documentary,Unrated,87,11/11/2016,Stephen Apkon,['nan'],English,7.7,25287.0
6296,Divan,2003,4,USA,Documentary,,90,3/17/2004,Pearl Gluck,"['Pearl Gluck', ' Amichai Lau Lavie', ' Basya Schechter']",English,7.0,56214.0
6298,Divergent,2014,3936,USA,Adventure,PG-13,139,3/21/2014,Neil Burger,"['Shailene Woodley', ' Theo James', ' Ashley Judd']",English,6.7,150947895.0
6299,Divided We Fall,2000,37,Czech Republic,Comedy,PG-13,117,6/8/2001,Jan Hrebejk,"['Bolek Polívka', ' Anna Sisková', ' Csongor Kassai']",German,7.8,1328815.0
6300,Divine Access,2015,0,USA,Comedy,Unrated,113,5/13/2016,Steven Chester Prince,"['Patrick Warburton', ' Sarah Shahi', ' Gary Cole']",English,5.7,0.0
6302,The Divine Move,2014,11,South Korea,Action,,118,7/25/2014,Beom-gu Cho,"['Kil-kang Ahn', ' Sung-Ki Ahn', ' Greg Chun']",Korean,6.7,136707.0
6303,The Divine Order,2017,0,Switzerland,Drama,,96,10/27/2017,Petra Biondina Volpe,"['Marie Leuenberger', ' Maximilian Simonischek', ' Rachel Braunschweig']",German,7.5,0.0
6304,Divine Secrets of the Ya-Ya Sisterhood,2002,2792,USA,Drama,PG-13,116,6/7/2002,Callie Khouri,"['Sandra Bullock', ' Ellen Burstyn', ' Fionnula Flanagan']",English,6.0,69599016.0
6305,The Diving Bell and the Butterfly,2007,213,France,Biography,PG-13,112,11/30/2007,Julian Schnabel,"['Mathieu Amalric', ' Emmanuelle Seigner', ' Marie-Josée Croze']",French,8.0,6003227.0
6309,The Wicker Man,2006,2784,USA,Horror,PG-13,102,9/1/2006,Neil LaBute,"['Nicolas Cage', ' Ellen Burstyn', ' Kate Beahan']",English,3.7,23649127.0
6310,Wicker Park,2004,2598,USA,Drama,PG-13,114,9/3/2004,Paul McGuigan,"['Josh Hartnett', ' Rose Byrne', ' Matthew Lillard']",English,7.0,13001257.0
6313,Widows,2011,0,Argentina,Drama,,100,11/16/2018,Marcos Carnevale,"['Graciela Borges', ' Valeria Bertuccelli', ' Rita Cortese']",Spanish,6.3,0.0
6315,Wiener-Dog,2016,73,USA,Comedy,R,88,6/24/2016,Todd Solondz,"['Keaton Nigel Cooke', ' Tracy Letts', ' Julie Delpy']",English,5.9,470575.0
6317,Wilbur Wants to Kill Himself,2002,16,Denmark,Comedy,R,109,3/12/2004,Lone Scherfig,"['Jamie Sives', ' Adrian Rawlins', ' Shirley Henderson']",English,6.9,235294.0
6318,The Wild,2006,2854,Canada,Animation,G,82,4/14/2006,Steve 'Spaz' Williams,"['Kiefer Sutherland', ' Jim Belushi', ' Eddie Izzard']",English,5.3,37384046.0
6321,Wild Bill,2011,775,UK,Drama,,98,12/1/1995,Dexter Fletcher,"['Charlie Creed-Miles', ' Will Poulter', ' Sammy Williams']",English,7.2,2193982.0
6323,Wild Canaries,2014,4,USA,Comedy,Unrated,96,2/25/2015,Lawrence Michael Levine,"['Sophia Takal', ' Lawrence Michael Levine', ' Alia Shawkat']",English,6.1,19777.0
6324,Wild Card,2015,0,USA,Action,R,92,1/30/2015,Simon West,"['Jason Statham', ' Michael Angarano', ' Dominik García-Lorido']",English,5.6,0.0
6325,Wild Child,2008,0,USA,Comedy,PG-13,124,1/1/2018,Nick Moore,"['Emma Roberts', ' Lexi Ainsworth', ' Shelby Young']",English,6.1,0.0
6326,Wild City,2015,11,Hong Kong,Action,Unrated,120,7/31/2015,Ringo Lam,"['Louis Koo', ' Shawn Yue', ' Liya Tong']",Cantonese,5.7,34866.0
6328,Wild Grass,2009,23,France,Drama,PG,104,6/25/2010,Alain Resnais,"['Sabine Azéma', ' André Dussollier', ' Anne Consigny']",French,6.3,403952.0
6330,Wild Hogs,2007,3401,USA,Action,PG-13,100,3/2/2007,Walt Becker,"['Tim Allen', ' John Travolta', ' Martin Lawrence']",English,5.9,168273550.0
6331,"Wild Horse, Wild Ride",2011,21,USA,Documentary,PG,106,8/24/2012,Alex Dawson,['nan'],English,7.5,111205.0
6332,The Wild Hunt,2009,0,Canada,Drama,,96,1/1/2018,Alexandre Franchi,"['Ricky Mabe', ' Mark Antony Krupa', ' Trevor Hayes']",English,6.3,0.0
6333,The Wild Life,2016,1142,Belgium,Animation,PG,91,9/28/1984,Vincent Kesteloot,"['Matthias Schweighöfer', ' Kaya Yanar', ' Ilka Bessin']",English,5.3,11020375.0
6335,Wild Oats,2016,100,USA,Action,PG-13,86,9/16/2016,Andy Tennant,"['Shirley MacLaine', ' Jessica Lange', ' Demi Moore']",English,5.6,40598.0
6338,The Wild Parrots of Telegraph Hill,2003,67,USA,Documentary,G,83,2/9/2005,Judy Irving,['Mark Bittner'],English,7.9,3058527.0
6342,Wild Tales,2014,122,Argentina,Comedy,R,122,2/20/2015,Damián Szifron,"['Darío Grandinetti', ' María Marull', ' Mónica Villa']",Spanish,8.1,3106530.0
6343,Wild Target,2010,13,UK,Action,PG-13,98,10/29/2010,Jonathan Lynn,"['Bill Nighy', ' Emily Blunt', ' Rupert Grint']",English,6.9,108589.0
6346,Wild Tigers I Have Known,2006,1,USA,Drama,Unrated,88,2/28/2007,Cam Archer,"['Malcolm Stumpf', ' Patrick White', ' Max Paradise']",English,6.2,9946.0
6352,The Wilde Wedding,2017,0,USA,Comedy,R,95,9/15/2017,Damian Harris,"['Glenn Close', ' John Malkovich', ' Patrick Stewart']",English,4.8,0.0
6354,The Wildest Dream,2010,21,USA,Documentary,PG,94,8/6/2010,Anthony Geffen,"['Conrad Anker', ' Susan Robertson', ' Robert Macfarlane']",English,7.3,898137.0
6356,Wildlike,2014,15,USA,Adventure,Unrated,104,9/25/2015,Frank Hall Green,"['Ella Purnell', ' Brian Geraghty', ' Diane Farr']",English,6.7,0.0
6358,Will You Still Love Me Tomorrow?,2013,3,Taiwan,Comedy,,104,1/17/2014,Arvin Chen,"['Richie Jen', ' Mavis Fan', ' Chin-Hang Shih']",Mandarin,6.7,6694.0
6359,Willard,2003,1762,Canada,Drama,PG-13,100,3/14/2003,Glen Morgan,"['Crispin Glover', ' R. Lee Ermey', ' Laura Harring']",English,6.2,6886089.0
6360,William Eggleston in the Real World,2005,2,USA,Documentary,,87,8/31/2005,Michael Almereyda,"['William J. Eggleston', ' Michael Almereyda', ' Winston Eggleston']",English,6.4,44435.0
6361,William Kunstler: Disturbing the Universe,2009,6,USA,Documentary,Unrated,85,11/13/2009,Emily Kunstler,"['Herman Badillo', ' Harry Belafonte', ' Clyde Bellecourt']",English,7.7,46078.0
6362,William S. Burroughs: A Man Within,2010,4,USA,Documentary,Unrated,87,11/17/2010,Yony Leyser,"['Fred Aldrich', ' Laurie Anderson', ' Amiri Baraka']",English,7.2,46380.0
6365,The Willow Tree,2005,2,Iran,Drama,,96,8/3/2007,Majid Majidi,"['Parviz Parastui', ' Roya Taymourian', ' Afarin Obeisi']",Persian,7.5,25752.0
6366,Tom and Jerry: Willy Wonka and the Chocolate Factory,2017,0,USA,Animation,Unrated,79,6/30/1971,Spike Brandt,"['JP Karliak', ' Jess Harnell', ' Lincoln Melcher']",English,4.2,0.0
6367,Wilson,2017,311,USA,Comedy,R,94,3/24/2017,Craig Johnson,"['Woody Harrelson', ' Sandy Oian-Thomas', ' Shaun Brown']",English,5.8,653951.0
6368,Wimbledon,2004,2039,UK,Comedy,PG-13,98,9/17/2004,Richard Loncraine,"['Kirsten Dunst', ' Paul Bettany', ' Sam Neill']",English,6.3,17001133.0
6369,Win a Date with Tad Hamilton!,2004,2808,USA,Comedy,PG-13,95,1/23/2004,Robert Luketic,"['Kate Bosworth', ' Topher Grace', ' Josh Duhamel']",English,5.6,17071962.0
6370,Win Win,2011,388,USA,Comedy,R,106,3/18/2011,Tom McCarthy,"['Paul Giamatti', ' Amy Ryan', ' Bobby Cannavale']",English,7.2,10179275.0
6373,Wind Chill,2007,42,USA,Drama,R,91,4/27/2007,Gregory Jacobs,"['Emily Blunt', ' Ashton Holmes', ' Martin Donovan']",English,5.9,36804.0
6374,The Wind Rises,2013,496,Japan,Animation,PG-13,126,2/21/2014,Hayao Miyazaki,"['Hideaki Anno', ' Hidetoshi Nishijima', ' Miori Takimoto']",Japanese,7.8,5209580.0
6375,Wind River,2017,2890,UK,Crime,R,107,8/4/2017,Taylor Sheridan,"['Kelsey Asbille', ' Jeremy Renner', ' Julia Jones']",English,7.9,33721763.0
6376,The Wind That Shakes the Barley,2006,50,Ireland,Drama,Unrated,127,3/16/2007,Ken Loach,"['Cillian Murphy', ' Pádraic Delaney', ' Liam Cunningham']",English,7.5,1836089.0
6378,Windfall,2006,1,USA,Comedy,,0,2/3/2012,nan,"['D.J. Cotrona', ' Jon Foster', ' Jason Gedrick']",English,6.4,6504.0
6379,The Winding Stream,2014,3,USA,Documentary,,90,12/16/2015,Beth Harrington,"['Chet Atkins', ' Lorrie Bennett', ' John R. Brinkley']",English,7.8,33420.0
6380,The Windmill Movie,2008,4,USA,Documentary,,82,6/17/2009,Alexander Olch,"['Wallace Shawn', ' Bob Balaban', ' Susan Meiselas']",English,6.4,30050.0
6381,Window Horses: The Poetic Persian Epiphany of Rosie Ming,2016,1,Canada,Animation,,85,9/29/2017,Ann Marie Fleming,"['Ellen Page', ' Shohreh Aghdashloo', ' Sandra Oh']",English,6.9,0.0
6384,Windsor Drive,2015,2,USA,Mystery,,90,8/28/2015,Natalie Bible',"['Samaire Armstrong', ' Anna Biani', ' Matt Cohen']",English,3.2,3256.0
6385,Windtalkers,2002,2898,USA,Action,R,134,6/14/2002,John Woo,"['Nicolas Cage', ' Adam Beach', ' Peter Stormare']",English,6.0,40914068.0
6388,Winged Migration,2001,202,France,Documentary,G,89,4/18/2003,Jacques Perrin,"['Philippe Labro', ' Jacques Perrin']",French,8.0,107644020.0
6393,A Wink and a Smile,2008,4,USA,Documentary,,91,5/1/2009,Deirdre Allen Timmons,"['Miss Indigo Blue', ' Diane Bruch', ' Casey Ellison']",English,6.9,20169.0
6394,Winnebago Man,2009,12,USA,Documentary,,85,7/9/2010,Ben Steinbauer,"['Jack Rebney', ' Ben Steinbauer', ' Keith Gordon']",English,7.2,181039.0
6397,Winnie Mandela,2011,32,South Africa,Biography,R,104,9/6/2013,Darrell Roodt,"['Jennifer Hudson', ' Terrence Howard', ' Elias Koteas']",English,6.0,80634.0
6398,Winnie the Pooh,2011,2405,USA,Animation,G,63,7/15/2011,Stephen J. Anderson,"['John Cleese', ' Jim Cummings', ' Bud Luckey']",English,7.2,26692846.0
6399,Winning Girls Through Psychic Mind Control,2002,1,USA,Comedy,,93,4/14/2005,Barry Alexander Brown,"['Bronson Pinchot', ' Ruben Santiago-Hudson', ' Amy Carlson']",English,7.7,11089.0
6401,The Winning Season,2009,3,USA,Comedy,PG-13,104,9/3/2010,Jim Strouse,"['Sam Rockwell', ' Emma Roberts', ' Rob Corddry']",English,6.6,0.0
6406,Winter of Frozen Dreams,2009,1,USA,Crime,R,92,4/10/2009,Eric Mandelbaum,"['Thora Birch', ' Keith Carradine', ' Brendan Sexton III']",English,4.8,8321.0
6407,Winter Passing,2005,11,USA,Comedy,R,98,2/17/2006,Adam Rapp,"['Zooey Deschanel', ' Darrell Larson', ' John Bedford Lloyd']",English,6.4,107492.0
6410,Winter Solstice,2004,39,USA,Drama,R,90,4/8/2005,Josh Sternfeld,"['Anthony LaPaglia', ' Aaron Stanford', ' Mark Webber']",English,6.2,319355.0
6411,Winter's Bone,2010,141,USA,Drama,R,100,6/11/2010,Debra Granik,"['Jennifer Lawrence', ' Isaiah Stone', ' Ashlee Thompson']",English,7.2,6531503.0
6412,Winter's Tale,2014,2965,USA,Drama,PG-13,118,2/14/2014,Akiva Goldsman,"['Colin Farrell', ' Matt Bomer', ' Lucy Griffiths']",English,6.2,12600231.0
6416,Wish I Was Here,2014,753,USA,Comedy,R,106,7/18/2014,Zach Braff,"['Zach Braff', ' Pierce Gagnon', ' Kate Hudson']",English,6.7,3591299.0
6417,Wish Upon,2017,2250,USA,Fantasy,PG-13,90,7/14/2017,John R. Leonetti,"['Joey King', ' Ryan Phillippe', ' Ki Hong Lee']",English,5.0,14301505.0
6418,Wish You Were Here,2012,43,Australia,Drama,R,89,7/24/1987,Kieran Darcy-Smith,"['Felicity Price', ' Joel Edgerton', ' Teresa Palmer']",English,5.9,3283832.0
6420,The Witch,2015,2204,USA,Horror,R,92,2/19/2016,Robert Eggers,"['Anya Taylor-Joy', ' Ralph Ineson', ' Kate Dickie']",English,6.8,25138705.0
6424,With a Friend Like Harry...,2000,220,France,Comedy,R,117,4/20/2001,Dominik Moll,"['Laurent Lucas', ' Sergi López', ' Mathilde Seigner']",French,7.2,3830441.0
6425,With All Deliberate Speed,2004,5,USA,Documentary,Unrated,110,5/14/2004,Peter Gilbert,"['Julian Bond', ' Joe Delaine', ' Barbara Johns']",English,7.8,7690.0
6426,With God on Our Side: George W. Bush and the Rise of the Religious Right in America,2004,1,USA,Documentary,,100,1/19/2005,Calvin Skaggs,"['George Bush', ' George W. Bush', ' Jimmy Carter']",English,5.7,1884.0
6429,Without a Paddle,2004,2756,USA,Adventure,PG-13,95,8/20/2004,Steven Brill,"['Matthew Price', ' Andrew Hampton', ' Jarred Rumbold']",English,5.9,58169327.0
6434,Without the King,2007,1,USA,Documentary,,83,4/25/2008,Michael Skolnik,"['His Majesty King Mswati III', ' Her Royal Highness Princess Sikhanyiso', ' Her Majesty Queen LaMbikiza']",English,7.0,8663.0
6436,Witless Protection,2008,1354,USA,Comedy,PG-13,97,2/22/2008,Charles Robert Carner,"['Larry the Cable Guy', ' Richard Bull', ' J. David Moeller']",English,3.2,4161625.0
6440,The Witnesses,2007,6,France,Drama,Unrated,112,2/1/2008,André Téchiné,"['Michel Blanc', ' Emmanuelle Béart', ' Sami Bouajila']",French,6.8,78440.0
6446,CJ7,2008,30,Hong Kong,Comedy,PG,86,3/7/2008,Stephen Chow,"['Stephen Chow', ' Jiao Xu', ' Lei Huang']",Cantonese,6.5,207378.0
6447,The Claim,2000,29,UK,Drama,R,120,12/29/2000,Michael Winterbottom,"['Peter Mullan', ' Milla Jovovich', ' Wes Bentley']",English,6.5,669258.0
6451,Clandestine Childhood,2011,2,Argentina,Drama,Unrated,112,1/18/2013,Benjamín Ávila,"['Ernesto Alterio', ' Natalia Oreiro', ' César Troncoso']",Spanish,7.1,9017.0
6453,The Class,2008,126,France,Drama,PG-13,128,12/19/2008,Laurent Cantet,"['François Bégaudeau', ' Agame Malembo-Emene', ' Angélica Sancio']",French,7.5,3766810.0
6459,Clean,2004,8,France,Drama,R,90,4/28/2006,Olivier Assayas,"['Maggie Cheung', ' Nick Nolte', ' Béatrice Dalle']",French,6.9,138711.0
6464,The Clearing,2004,449,Germany,Drama,R,95,7/2/2004,Pieter Jan Brugge,"['Robert Redford', ' Helen Mirren', ' Willem Dafoe']",English,5.9,5763875.0
6467,Clerks II,2006,2150,USA,Comedy,R,97,7/21/2006,Kevin Smith,"[""Brian O'Halloran"", ' Jeff Anderson', ' Jason Mewes']",English,7.4,24148068.0
6468,Click,2006,3764,USA,Comedy,PG-13,107,6/23/2006,Frank Coraci,"['Adam Sandler', ' Kate Beckinsale', ' Christopher Walken']",English,6.4,137355633.0
6470,Client 9: The Rise and Fall of Eliot Spitzer,2010,17,USA,Documentary,R,117,11/5/2010,Alex Gibney,"['Alex Gibney', ' Eliot Spitzer', ' Hulbert Waldroup']",English,7.4,189416.0
6474,Clifford's Really Big Movie,2004,471,USA,Animation,G,74,4/20/2004,Robert C. Ramirez,"['John Ritter', ' Wayne Brady', ' Grey DeLisle']",English,5.5,2922354.0
6475,Climates,2006,7,Turkey,Drama,Unrated,101,10/27/2006,Nuri Bilge Ceylan,"['Ebru Ceylan', ' Nuri Bilge Ceylan', ' Nazan Kesal']",Turkish,7.3,119958.0
6476,"Clinton, Inc.",2016,20,USA,Documentary,PG-13,87,9/30/2016,Bill Baber,"['Daniel Halper', ' Dick Morris', ' Myra Adams']",English,4.8,0.0
6477,Clive Davis: The Soundtrack of Our Lives,2017,0,USA,Documentary,,0,9/27/2017,Chris Perkel,['Clive Davis'],nan,,0.0
6481,Clockstoppers,2002,2563,USA,Action,PG,94,3/29/2002,Jonathan Frakes,"['Jesse Bradford', ' French Stewart', ' Paula Garcés']",English,5.2,36989956.0
6485,Close Call,2004,4,USA,Action,,93,4/16/2004,Jimmy Lee,"['Annie Lee', ' Philip Moon', ' Jan Devereaux']",English,4.1,12077.0
6490,Close to You,2006,5,Philippines,Romance,,110,2/18/2006,Cathy Garcia-Molina,"['John Lloyd Cruz', ' Bea Alonzo', ' Sam Milby']",Filipino,6.5,52654.0
6491,Close Your Eyes,2002,17,UK,Crime,R,108,4/23/2004,Nick Willing,"['Shirley Henderson', ' Goran Visnjic', ' Miranda Otto']",English,6.2,41392.0
6492,Closed Circuit,2013,870,UK,Crime,R,96,8/28/2013,John Crowley,"['Kate Lock', ' Katherine Press', ' Patrick Warner']",English,6.2,5750401.0
6493,Closed Curtain,2013,5,Iran,Drama,,106,7/9/2014,Jafar Panahi,"['Kambuzia Partovi', ' Maryam Moqadam', ' Jafar Panahi']",Persian,6.6,28098.0
6494,Closer,2004,1098,USA,Drama,R,104,12/3/2004,Mike Nichols,"['Julia Roberts', ' Jude Law', ' Natalie Portman']",English,7.3,33987757.0
6495,The Closer You Get,2000,30,UK,Comedy,PG-13,90,2/25/2000,Aileen Ritchie,"['Ian Hart', ' Sean McGinley', ' Niamh Cusack']",English,6.3,164927.0
6497,Closet Monster,2015,11,Canada,Drama,Unrated,90,9/23/2016,Stephen Dunn,"['Aaron Abrams', ' Jack Fulton', ' Joanne Kelly']",English,7.0,42166.0
6498,Closing Escrow,2007,5,USA,Comedy,PG,93,8/24/2007,Armen Kaprelian,"['April Barnett', ' Rob Brownstein', ' Colleen Crabtree']",English,5.5,8719.0
6499,Cloud 9,2014,8,USA,Action,TV-G,85,8/14/2009,Paul Hoen,"['Luke Benward', ' Dove Cameron', ' Kiersey Clemons']",English,6.8,91675.0
6500,Cloud Atlas,2012,2023,Germany,Action,R,172,10/26/2012,Tom Tykwer,"['Tom Hanks', ' Halle Berry', ' Jim Broadbent']",English,7.5,27108272.0
6501,Clouds of Sils Maria,2014,187,France,Drama,R,124,4/10/2015,Olivier Assayas,"['Juliette Binoche', ' Kristen Stewart', ' Chloë Grace Moretz']",English,6.8,1851517.0
6502,Cloudy with a Chance of Meatballs,2009,3119,USA,Animation,PG,90,9/18/2009,Phil Lord,"['Bill Hader', ' Anna Faris', ' James Caan']",English,7.0,124870275.0
6503,Cloudy with a Chance of Meatballs 2,2013,4001,USA,Animation,PG,95,9/27/2013,Cody Cameron,"['Bill Hader', ' Anna Faris', ' James Caan']",English,6.4,119793567.0
6504,Cloverfield,2008,3411,USA,Action,PG-13,85,1/18/2008,Matt Reeves,"['Lizzy Caplan', ' Jessica Lucas', ' T.J. Miller']",English,7.0,80048433.0
6505,Clown,2014,100,USA,Horror,R,100,6/17/2016,Jon Watts,"['Andy Powers', ' Laura Allen', ' Peter Stormare']",English,5.7,55007.0
6506,The Club,2015,14,Chile,Comedy,Unrated,98,2/5/2016,Pablo Larraín,"['Alfredo Castro', ' Roberto Farías', ' Antonia Zegers']",Spanish,7.2,52761.0
6507,Club Dread,2004,1807,USA,Comedy,R,104,2/27/2004,Jay Chandrasekhar,"['Elena Lyons', ' Dan Montgomery Jr.', ' Tanja Reichert']",English,5.7,5001708.0
6508,Club Life,2015,7,USA,Drama,R,87,5/29/2015,Fabrizio Conte,"['Jessica Szohr', ' Jerry Ferrara', ' Robert Davi']",English,4.7,4444.0
6515,Wrath of the Titans,2012,3545,Spain,Action,PG-13,99,3/30/2012,Jonathan Liebesman,"['Sam Worthington', ' Liam Neeson', ' Ralph Fiennes']",English,5.8,83670083.0
6517,Wreck-It Ralph,2012,3752,USA,Animation,PG,101,11/2/2012,Rich Moore,"['John C. Reilly', ' Sarah Silverman', ' Jack McBrayer']",English,7.7,189422889.0
6518,Wrecked,2010,1,USA,Adventure,R,91,4/1/2011,Michael Greenspan,"['Adrien Brody', ' Caroline Dhavernas', ' Ryan Robbins']",English,5.3,8020.0
6520,The Wrestler,2008,776,USA,Drama,R,109,12/17/2008,Darren Aronofsky,"['Mickey Rourke', ' Marisa Tomei', ' Evan Rachel Wood']",English,7.9,26238243.0
6522,Wrestling with Angels: Playwright Tony Kushner,2006,4,USA,Documentary,,98,10/4/2006,Freida Lee Mock,"['Firdous Bamji', ' Bill Camp', ' Harrison Chad']",English,7.8,24729.0
6523,Wretches & Jabberers,2011,1,USA,Documentary,,90,4/1/2011,Gerardine Wurzburg,"['Larry Bissonnette', ' Tracy Thresher']",English,8.1,84610.0
6524,A Wrinkle in Time,2003,0,Canada,Family,TV-PG,251,3/9/2018,John Kent Harrison,"['Katie Stuart', ' Gregory Smith', ' David Dorfman']",English,5.7,0.0
6525,Wristcutters: A Love Story,2006,91,USA,Comedy,R,88,10/19/2007,Goran Dukic,"['Patrick Fugit', ' Shannyn Sossamon', ' Shea Whigham']",English,7.4,446165.0
6526,Writer of O,2004,1,France,Documentary,,80,5/4/2005,Pola Rapaport,"['Dominique Aury', ' Cyril Corral', ' Thierry de Carbonnières']",English,6.9,11728.0
6531,Wrong Turn,2003,1615,USA,Horror,R,84,5/30/2003,Rob Schmidt,"['Desmond Harrington', ' Eliza Dushku', ' Emmanuelle Chriqui']",English,6.1,15418790.0
6535,Ip Man 3,2015,115,China,Action,PG-13,105,1/22/2016,Wilson Yip,"['Donnie Yen', ' Lynn Hung', ' Jin Zhang']",Cantonese,7.1,2679437.0
6536,Ip Man: The Final Fight,2013,14,Hong Kong,Action,PG-13,100,9/20/2013,Herman Yau,"['Anthony Chau-Sang Wong', ' Gillian Chung', ' Jordan Chan']",Cantonese,6.2,37884.0
