,Unnamed: 0,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
3281,5290,Thunder Soul,2010,37,USA,Documentary,Rated,83,9/23/2011,Mark Landsman,"['Craig Baldwin', ' Craig Green', ' Conrad O. Johnson Sr.']",English,7.5,143986.0
3283,5295,Thunderstruck,2012,250,USA,Comedy,Rated,94,8/24/2012,John Whitesell,"['Kevin Durant', ' Taylor Gray', ' James Belushi']",English,5.2,587211.0
3284,5299,No,2012,2,Chile,Drama,Rated,118,4/23/1999,Pablo Larraín,"['Gael García Bernal', ' Alfredo Castro', ' Luis Gnecco']",Spanish,7.4,4868.0
3285,5300,No Country for Old Men,2007,2037,USA,Crime,Rated,122,11/9/2007,Ethan Coen,"['Tommy Lee Jones', ' Javier Bardem', ' Josh Brolin']",English,8.1,74283625.0
3286,5301,No End in Sight,2007,117,USA,Documentary,Unrated,102,7/27/2007,Charles Ferguson,"['Campbell Scott', ' Gerald Burke', ' Ali Fadhil']",English,8.3,1433319.0
3288,5303,"No eres tú, soy yo",2010,226,Mexico,Comedy,Rated,101,4/8/2011,Alejandro Springall,"['Eugenio Derbez', ' Martina García', ' Alejandra Barros']",Spanish,5.8,1339911.0
3289,5304,No Escape,2015,1765,USA,Action,Rated,103,4/29/1994,John Erick Dowdle,"['Owen Wilson', ' Lake Bell', ' Sterling Jerins']",English,6.8,15339030.0
3290,5305,No Escape,2015,3415,USA,Action,Rated,103,8/26/2015,John Erick Dowdle,"['Owen Wilson', ' Lake Bell', ' Sterling Jerins']",English,6.8,27288872.0
3291,5306,"No God, No Master",2013,5,USA,Crime,Rated,94,3/28/2014,Terry Green,"['David Strathairn', ' Ray Wise', ' Sam Witwer']",English,5.9,6796.0
3292,5307,No Good Deed,2014,402,USA,Crime,Rated,84,9/12/2003,Sam Miller,"['Idris Elba', ' Taraji P. Henson', ' Leslie Bibb']",English,5.6,181600.0
3293,5308,No Greater Love,2009,22,USA,Drama,Rated,109,11/10/2017,Brad J. Silverman,"['Anthony Tyler Quinn', ' Danielle Bisutti', ' Jay Underwood']",English,6.1,9240.0
3294,5310,No Home Movie,2015,5,Belgium,Documentary,Unrated,115,2/18/2016,Chantal Akerman,"['Chantal Akerman', ' Natalia Akerman', ' Sylvaine Akerman']",French,6.7,32757.0
3295,5311,No Impact Man: The Documentary,2009,8,USA,Documentary,Unrated,93,9/11/2009,Laura Gabbert,"['Colin Beavan', ' Michelle Conlin']",English,6.7,100028.0
3297,5315,No Manches Frida,2016,465,USA,Comedy,Rated,100,9/2/2016,Nacho G. Velilla,"['Omar Chaparro', ' Martha Higareda', ' Mónica Dionne']",Spanish,5.7,11528613.0
3298,5317,No No: A Dockumentary,2014,0,USA,Documentary,Unrated,100,9/5/2014,Jeff Radice,"['Larry Demery', ' Dock Ellis', ' Ron Howard']",English,7.2,0.0
3299,5318,No One Killed Jessica,2011,48,India,Biography,Rated,136,1/7/2011,Raj Kumar Gupta,"['Rani Mukerji', ' Vidya Balan', ' Myra Karn']",Hindi,7.2,440525.0
3300,5319,No One Knows About Persian Cats,2009,12,Iran,Drama,Rated,106,4/16/2010,Bahman Ghobadi,"['Negar Shaghaghi', ' Ashkan Koshanejad', ' Hamed Behdad']",Persian,7.2,81768.0
3301,5320,No One Lives,2012,53,USA,Horror,Rated,86,5/10/2013,Ryûhei Kitamura,"['Luke Evans', ' Adelaide Clemens', ' Lee Tergesen']",English,6.0,74918.0
3302,5321,"No Pay, Nudity",2016,8,USA,Comedy,Rated,92,11/11/2016,Lee Wilkof,"['Frances Conroy', ' Donna Murphy', ' Zoe Perry']",English,6.1,20017.0
3303,5322,No Place on Earth,2012,27,UK,Documentary,Rated,83,4/5/2013,Janet Tobias,"['Saul Stermer', ' Sam Stermer', ' Sonia Dodyk']",English,7.0,200238.0
3304,5324,No Problem,2010,84,India,Action,Rated,139,12/10/2010,Anees Bazmee,"['Kangana Ranaut', ' Sanjay Dutt', ' Anil Kapoor']",Hindi,4.1,285468.0
3306,5326,No Reservations,2007,2425,USA,Comedy,Rated,104,7/27/2007,Scott Hicks,"['Catherine Zeta-Jones', ' Aaron Eckhart', ' Abigail Breslin']",English,6.3,43107979.0
3308,5330,No Strings Attached,2011,3050,USA,Comedy,Rated,108,1/21/2011,Ivan Reitman,"['Natalie Portman', ' Ashton Kutcher', ' Kevin Kline']",English,6.2,70662220.0
3310,5332,No Tears for the Dead,2014,13,South Korea,Action,Unrated,116,6/13/2014,Jeong-beom Lee,"['Dong-gun Jang', ' Min-hee Kim', ' Brian Tee']",Korean,6.8,63063.0
3312,5335,Noah,2014,3571,USA,Action,Rated,138,3/28/2014,Darren Aronofsky,"['Russell Crowe', ' Jennifer Connelly', ' Ray Winstone']",English,5.8,101200044.0
3313,5336,Noah's Arc: Jumping the Broom,2008,9,USA,Drama,Rated,101,10/24/2008,Patrik-Ian Polk,"['Darryl Stephens', ' Rodney Chester', ' Gary LeRoi Gray']",English,6.3,532878.0
3314,5337,Nobel Son,2007,893,USA,Comedy,Rated,110,12/5/2008,Randall Miller,"['Alan Rickman', ' Bryan Greenberg', ' Shawn Hatosy']",English,6.4,540382.0
3315,5338,Noble,2014,175,UK,Biography,Rated,100,5/8/2015,Stephen Bradley,"[""Deirdre O'Kane"", ' Sarah Greene', ' Brendan Coyle']",English,6.8,347321.0
