,Person,Total Gross(Million),Movie involved,Average Gross for each movie,Most profitbale movie,Gross of most profitable
2080,Don Cheadle,2600.0,1.0,2600.0,Miles Ahead,2600.0
2081,James Vanderbilt,2500.0,1.0,2500.0,Truth,2500.0
2082,Claire Denis,2300.0,2.0,1200.0,Chocolat (1989),2300.0
2083,Eran Creevy,2300.0,2.0,1100.0,Collide,2300.0
2084,David Hare,2300.0,3.0,760,Wetherby,1300.0
2085,Oren Moverman,2200.0,3.0,750,The Messenger,1100.0
2086,Lynne Ramsay,2200.0,3.0,741,We Need to Talk About Kevin,1700.0
2087,David Michod,2200.0,2.0,1100.0,The Rover,1100.0
2088,Tom DiCillo,2200.0,5.0,431,Living in Oblivion,1100.0
2089,Joseph Cedar,2100.0,3.0,715,Footnote,2000.0
2090,Gregg Araki,2000.0,7.0,292,Mysterious Skin,713
2091,Jonas Cuaron,2000.0,1.0,2000.0,Desierto,2000.0
2092,Ralph Fiennes,2000.0,2.0,996,The Invisible Woman,1200.0
2093,Adam Del Deo,1800.0,3.0,590,Every Little Step,1700.0
2094,Steven Knight,1400.0,2.0,706,Locke,1400.0
2095,Gaspar Noe,1400.0,3.0,459,Irreversible,792
2096,Mike Cahill,1300.0,1.0,1300.0,Another Earth,1300.0
2097,Leslye Headland,1300.0,2.0,634,Sleeping with Other People,819
2098,Chris Terrio,1200.0,1.0,1200.0,Heights,1200.0
2099,Bob Yari,1100.0,1.0,1100.0,Papa: Hemingway in Cuba,1100.0
2100,Rodrigo Cortes,1100.0,2.0,548,Buried,1000.0
2101,Jim Wilson,1100.0,2.0,548,50 to 1,1100.0
2102,John Krasinski,1100.0,2.0,525,The Hollars,1000.0
2103,Michael Mayer,1000.0,1.0,1000.0,A Home at the End of the World,1000.0
2104,Joe Cornish,1000.0,1.0,1000.0,Attack the Block,1000.0
2105,Prabhu Dheva,919,1.0,919,Singh is Bling,919
2106,Paul Newman,896,1.0,896,The Glass Menagerie,896
2107,Vera Farmiga,842,1.0,842,Higher Ground,842
2108,Kirby Dick,831,5.0,166,This Film Is Not Yet Rated,307
2109,William Nicholson,785,1.0,785,Firelight,785
2110,Ethan Hawke,775,2.0,387,Seymour: An Introduction,744
2111,Azazel Jacobs,756,2.0,378,Terri,656
2112,Jacob Aaron Estes,668,2.0,334,Mean Creek,604
2113,Sebastián Silva,656,2.0,328,The Maid,577
2114,David Chase,611,1.0,611,Not Fade Away,611
2115,Madonna,606,2.0,303,W.E.,583
2116,Ned Benson,588,1.0,588,The Disappearance of Eleanor Rigby,588
2117,Shane Salerno,584,1.0,584,Salinger,584
2118,James Keach,581,4.0,145,Glen Campbell... I'll Be Me,365
2119,Natalie Portman,572,1.0,572,A Tale of Love and Darkness,572
2120,Alan Rickman,558,1.0,558,A Little Chaos,558
2121,Ewan McGregor,544,1.0,544,American Pastoral,544
2122,Josh Radnor,543,2.0,272,Liberal Arts,327
2123,Philip Seymour Hoffman,542,1.0,542,Jack Goes Boating,542
2124,Joe Swanberg,521,5.0,104,Drinking Buddies,343
2125,Hossein Amini,507,1.0,507,The Two Faces of January,507
2126,Andy Serkis,490,1.0,490,Breathe (2017),490
2127,Bobcat Goldthwait,475,4.0,119,World's Greatest Dad,222
2128,Roman Coppola,460,2.0,230,CQ,414
2129,Casey Affleck,409,1.0,409,I'm Still Here,409
2130,Steve Conrad,409,1.0,409,The Promotion,409
2131,Alex Ross Perry,402,4.0,100,Listen Up Philip,200
2132,David Duchovny,389,1.0,389,House of D,389
2133,Spencer Susser,383,1.0,383,Hesher,383
2134,Danny Strong,378,1.0,378,Rebel in the Rye,378
2135,Ti West,348,6.0,58.1,The House of the Devil,101
2136,Michael Keaton,348,1.0,348,The Merry Gentleman,348
2137,John Ridley,346,2.0,173,Jimi: All Is By My Side,341
2138,Josh Sternfeld,319,1.0,319,Winter Solstice,319
2139,Demetri Martin,255,1.0,255,Dean,255
2140,Jeremy Brock,240,1.0,240,Driving Lessons,240
2141,Robert D. Siegel,235,1.0,235,Big Fan,235
2142,Guillermo Arriaga,233,2.0,116,The Burning Plain,201
2143,Dan Harris,229,1.0,229,Imaginary Heroes,229
2144,Mike Myers,213,1.0,213,Supermensch: The Legend of Shep Gordon,213
2145,Ed Solomon,210,1.0,210,Levity,210
2146,Jamie Linden,203,1.0,203,10 Years,203
2147,Jordan Roberts,194,1.0,194,Around the Bend,194
2148,Edward Burns,188,4.0,47.1,The Groomsmen,129
2149,John Slattery,170,1.0,170,God's Pocket,170
2550,Zak Penn,153,2.0,76.7,The Grand,116
2551,Malcolm Venville,142,2.0,70.8,Henry's Crime,103
2552,Jackie Chan,136,1.0,136,1911,136
2553,Luke Wilson,127,1.0,127,The Wendell Baker Story,127
2554,Kiefer Sutherland,109,1.0,109,"Truth or Consequences, N.M.",109
2555,Keanu Reeves,100,1.0,100,Man of Tai Chi,100
2556,Kevin Bacon,97.4,2.0,48.7,Losing Chase,64.2
2557,Tim Allen,88.3,1.0,88.3,Crazy on the Outside,88.3
2558,Don Hahn,80.7,1.0,80.7,Waking Sleeping Beauty,80.7
2559,Anthony Hopkins,78.0,2.0,39.0,August (1996),69.1
2560,John August,63.2,1.0,63.2,The Nines,63.2
2561,Melisa Wallack,62.6,1.0,62.6,Meet Bill,62.6
2562,William H. Macy,58.3,1.0,58.3,Rudderless,58.3
2563,Peter Tolan,57.3,1.0,57.3,Finding Amanda,57.3
2564,Goro Miyazaki,48.5,1.0,48.5,Tales from Earthsea,48.5
2565,Ryan Gosling,45.4,1.0,45.4,Lost River,45.4
2566,Melanie Laurent,42.3,1.0,42.3,Breathe,42.3
2567,Matthew Lillard,41.5,1.0,41.5,Fat Kid Rules the World,41.5
2568,Chris Evans,37.2,1.0,37.2,Before We Go,37.2
2569,Nicolas Cage,30.0,1.0,30.0,Sonny,30.0
2570,William Monahan,24.3,2.0,12.2,London Boulevard,16.1
2571,Geoffrey Fletcher,17.2,1.0,17.2,Violet & Daisy,17.2
2572,Lonzo Nzekwe,15.8,1.0,15.8,Anchor Baby,15.8
2573,Billy Bob Thornton,14.8,1.0,14.8,Jayne Mansfield's Car,14.8
2574,Stewart Wade,13.9,2.0,6.9,Tru Loved,9.5
2575,Mark Ruffalo,13.8,1.0,13.8,Sympathy for Delicious,13.8
2576,Michele Mulroney,13.5,1.0,13.5,Paper Man,13.5
2577,Kieran Mulroney,13.5,1.0,13.5,Paper Man,13.5
2578,Dustin Lance Black,12.7,1.0,12.7,Virginia,12.7
2579,Ryan Piers Williams,11.8,1.0,11.8,The Dry Land,11.8
2580,Ernie Barbarash,11.8,1.0,11.8,Falcon Rising,11.8
2581,Nia Vardalos,11.0,1.0,11.0,I Hate Valentine's Day,11.0
2582,Courteney Cox,11.0,1.0,11.0,Just Before I Go,11.0
2583,Thomas Lennon & Ben Garant,8.8,1.0,8.8,Hell Baby,8.8
2584,Famke Janssen,5.0,1.0,5.0,Bringing Up Bobby,5.0
2970,David Fincher,865200.0,10.0,86500.0,Gone Girl,167800.0
2971,Tyler Perry,864000.0,17.0,50800.0,Madea Goes to Jail,90500.0
2972,Justin Lin,845900.0,8.0,105700.0,Fast & Furious 6,238700.0
2973,Sam Mendes,834000.0,7.0,119100.0,Skyfall,304400.0
2974,Mike Mitchell,829700.0,7.0,118500.0,Shrek Forever After,238700.0
2975,James Wan,812800.0,8.0,101600.0,Furious 7,353000.0
2976,Barry Levinson,812700.0,22.0,36900.0,Rain Man,172800.0
2977,Joe Johnston,811200.0,9.0,90100.0,Jurassic Park III,181200.0
2978,Peter Segal,804200.0,9.0,89400.0,The Longest Yard,158100.0
2979,Raja Gosnell,803000.0,9.0,89200.0,Scooby-Doo,153300.0
2980,Brad Bird,793900.0,5.0,158800.0,The Incredibles,261399.99999999997
2981,The Farrelly Bros.,792000.0,12.0,66000.0,Something About Mary,176500.0
2982,James Mangold,782400.0,10.0,78200.0,Logan,226300.0
2983,Tim Story,781900.0,8.0,97700.0,Fantastic Four (2005),154700.0
2984,Wolfgang Petersen,775100.0,10.0,77500.0,Perfect Storm,182600.0
2985,Sydney Pollack,774500.0,13.0,59600.0,Tootsie,177200.0
2986,Oliver Stone,766000.0,19.0,40300.0,Platoon,138500.0
2987,Eric Darnell,764100.0,5.0,152800.0,Madagascar 3,216400.0
2988,F. Gary Gray,757700.0,9.0,84200.0,Fate of the Furious,225800.0
2989,Anthony Russo,743800.0,4.0,186000.0,Captain America 3,408100.0
2990,Joe Russo,743800.0,4.0,186000.0,Captain America 3,408100.0
2991,Paul Greengrass,740600.0,8.0,92600.0,The Bourne Ultimatum,227500.0
2992,Gareth Edwards,733100.0,3.0,244400.0,Rogue One,532200.0
2993,James Gunn,731100.0,4.0,182800.0,Guardians of the Galaxy 2,389800.0
2994,Mike Nichols,722500.0,16.0,45200.0,Birdcage,124100.0
2995,Lilly & Lana Wachowski,714600.0,7.0,102100.0,The Matrix Reloaded,281600.0
2996,Martin Campbell,714100.0,12.0,59500.0,Casino Royale,167400.0
2997,Phil Lord,712800.0,4.0,178200.0,The LEGO Movie,257800.0
2998,Chris Miller (II),712800.0,4.0,178200.0,The LEGO Movie,257800.0
2999,Robert Rodriguez,706400.0,16.0,44100.0,Spy Kids,112700.0
3000,Stephen Sommers,706300.0,8.0,88300.0,Mummy Returns,202000.0
3001,Adam Shankman,697500.0,8.0,87200.0,Bringing Down the House,132700.0
3002,Rob Reiner,679300.0,19.0,35800.0,A Few Good Men,141300.0
3003,Peter Berg,678200.0,9.0,75400.0,Hancock,227900.0
3004,John Landis,672000.0,15.0,44800.0,National Lampoon's Animal House,141600.0
3005,Colin Trevorrow,660600.0,3.0,220200.0,Jurassic World,652300.0
3006,Kelly Asbury,659500.0,4.0,164900.0,Shrek 2,441200.0
3007,Adam McKay,650800.0,6.0,108500.0,Talladega Nights,148200.0
3008,Quentin Tarantino,649200.0,9.0,72100.0,Django Unchained,162800.0
3009,Rian Johnson,644600.0,4.0,161200.0,Star Wars: The Last Jedi,572500.0
3010,Rob Cohen,638400.0,12.0,53200.0,Fast and the Furious,144500.0
3011,Kenneth Branagh,636900.0,13.0,49000.0,Cinderella,201200.0
3012,Brian De Palma,636100.0,18.0,35300.0,Mission: Impossible,181000.0
3013,Chris Buck,630700.0,3.0,210200.0,Frozen,400700.0
3014,Antoine Fuqua,627500.0,12.0,52300.0,The Equalizer,101500.0
3015,Sylvester Stallone,626300.0,8.0,78300.0,Rocky IV,127900.0
3016,Nancy Meyers,625600.0,6.0,104300.0,What Women Want,182800.0
3017,Rob Marshall,616900.0,5.0,123400.0,Pirates of the Caribbean 4,241100.0
3018,John McTiernan,610400.0,11.0,55500.0,Hunt for Red October,122000.0
3019,Alfonso Cuaron,609500.0,7.0,87100.0,Gravity,274100.0
