,Title,Theaters_x,Country_x,Genre_x,Rated_x,Runtime_x,Open_x,Language_x,imdbRating_x,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends,last year_totalgross,genre_gross,count_num,Total Gross_x
37,Kill the Messenger,427,1,6,1,112,10/10/2014,1,7.0,114500.0,1,8000.0,1,359.0,10893180888.0,,56.0,2450846
38,Kill Your Darlings,78,1,6,1,104,16/10/2013,1,6.5,94750.0,1,,0,1215.0,11041914748.0,,34.0,1030064
39,Killer Elite,2986,2,4,1,116,23/09/2011,1,6.5,34100.0,1,25100.0,1,541.0,10589599184.0,1491832495.0,43.0,25124966
40,The Killer Inside Me,17,1,5,1,109,18/06/2010,1,6.1,36633.33333,1,1000.0,1,1461.0,10639535233.0,,29.0,217277
41,Killer Joe,75,1,5,1,102,27/07/2012,1,6.7,37450.0,1,33000.0,1,851.0,10187347362.0,,23.0,1987762
42,Killers,2859,1,4,1,100,04/06/2010,1,5.4,47000.0,1,60100.0,1,827.0,10639535233.0,2041030428.0,29.0,47059963
43,Killing Kasztner,5,1,3,1,120,23/10/2009,1,7.2,0.0,0,,0,0.0,9750709587.0,87432868.0,37.0,112313
44,The Killing of a Sacred Deer,238,2,1,1,121,20/10/2017,1,7.9,32500.0,1,,0,1264.0,11216236720.0,1339173437.0,47.0,1083179
45,Killing Season,12,1,4,1,91,12/07/2013,1,5.4,53300.0,1,53900.0,1,448.0,11041914748.0,2219810902.0,32.0,39881
46,Killing Them Softly,2424,1,5,1,97,30/11/2012,1,6.2,64800.0,1,6400.0,1,607.0,10187347362.0,,38.0,15026056
47,Kills on Wheels,1,6,4,1,103,20/10/2017,26,7.4,0.0,0,,0,186.0,11216236720.0,2297451379.0,47.0,15668
48,Killshot,5,1,5,1,95,23/01/2009,1,6.0,26466.66667,1,23400.0,1,913.0,9750709587.0,,18.0,18643
49,Kilo Two Bravo,11,2,9,1,108,13/11/2015,1,7.1,0.0,0,,0,804.0,10354970864.0,3199663674.0,38.0,7891
50,A Kind of Murder,3,1,5,1,95,16/12/2016,1,5.2,35700.0,1,,0,580.0,11149116327.0,,26.0,2915
51,The Kind Words,8,6,1,0,118,24/06/2016,2,6.7,0.0,0,,0,0.0,11149116327.0,2060252692.0,42.0,135382
52,The Kindergarten Teacher,4,6,1,0,119,31/07/2015,9,6.6,0.0,0,,0,139.0,10354970864.0,1679582816.0,35.0,36190
53,King Arthur: Legend of the Sword,3702,1,4,1,126,12/05/2017,1,6.9,41800.0,1,57900.0,1,619.0,11216236720.0,2297451379.0,33.0,39175066
54,King Cobra,17,1,5,0,91,21/10/2016,1,5.6,0.0,0,,0,530.0,11149116327.0,,46.0,74712
55,King Corn,8,1,3,0,88,12/10/2007,1,7.1,0.0,0,,0,469.0,9190502983.0,102279769.0,31.0,105422
56,King Georges,10,1,3,0,77,26/02/2016,1,6.9,0.0,0,,0,501.0,11149116327.0,65052467.0,26.0,51663
57,King of California,28,1,2,1,93,14/09/2007,1,6.7,49400.0,1,1300.0,1,392.0,9190502983.0,1955138318.0,26.0,268461
58,King of Devil's Island,2,6,4,0,116,18/11/2011,14,7.5,0.0,0,,0,0.0,10589599184.0,1491832495.0,28.0,7615
59,The King of Kong: A Fistful of Quarters,58,1,3,1,79,17/08/2007,1,8.2,0.0,0,86200.0,1,0.0,9190502983.0,102279769.0,26.0,677914
60,The King's Case Note,7,6,9,1,114,28/04/2017,7,6.5,0.0,0,,0,0.0,11216236720.0,4686116125.0,38.0,90959
61,The King's Choice,10,6,6,1,133,22/09/2017,14,7.3,0.0,0,,0,1142.0,11216236720.0,,47.0,109153
62,The King's Speech,2584,2,6,1,118,26/11/2010,1,8.0,57250.0,1,74800.0,1,458.0,10639535233.0,,26.0,1354531430
63,The Kingdom,2836,1,4,1,110,28/09/2007,1,7.1,54233.333329999994,1,75400.0,1,1137.0,9190502983.0,1007869230.0,26.0,47536778
64,Kings of Pastry,10,6,3,1,87,15/09/2010,1,6.9,0.0,0,,0,345.0,10639535233.0,187290939.0,36.0,336386
65,The Kings of Summer,65,1,9,1,95,31/05/2013,1,7.2,0.0,0,84700.0,1,1091.0,11041914748.0,3299119819.0,44.0,1315590
66,Kings of the Evening,5,1,1,1,99,11/06/2010,1,6.0,0.0,0,,0,100.0,10639535233.0,1834327761.0,29.0,99270
67,Kingsglaive: Final Fantasy XV,26,6,7,1,110,19/08/2016,1,6.9,39100.0,1,,0,926.0,11149116327.0,,44.0,269980
68,Kingsman: The Golden Circle,4038,2,4,1,141,22/09/2017,1,7.2,86000.0,1,77300.0,1,594.0,11216236720.0,2297451379.0,47.0,99121408
69,Kingsman: The Secret Service,3282,2,4,1,129,13/02/2015,1,7.7,35150.0,1,77300.0,1,724.0,10354970864.0,2268082751.0,31.0,128261724
70,Kinyarwanda,9,1,1,0,100,02/12/2011,1,6.7,0.0,0,,0,609.0,10589599184.0,1687447132.0,25.0,35412
71,Kismat Konnection,62,4,2,1,153,18/07/2008,3,5.2,0.0,0,,0,641.0,9767268194.0,1427703732.0,24.0,490154
72,Kiss of the Damned,7,1,1,1,97,03/05/2013,1,5.6,0.0,0,,0,1031.0,11041914748.0,1670662348.0,44.0,14752
73,Kiss the Bride,5,1,2,1,100,18/04/2008,1,5.8,0.0,0,,0,0.0,9767268194.0,1427703732.0,34.0,32033
74,Kisses,11,6,1,1,72,16/07/2010,1,7.3,0.0,0,,0,993.0,10639535233.0,1834327761.0,31.0,81680
75,Kit Kittredge: An American Girl,1849,1,1,1,101,20/06/2008,1,6.6,55200.0,1,,0,100.0,9767268194.0,1293680617.0,29.0,17657973
76,The Kitchen,2,1,2,1,80,08/03/2013,1,5.0,0.0,0,,0,966.0,11041914748.0,1050654625.0,41.0,4054
77,The Kite Runner,715,1,1,1,128,14/12/2007,68,7.6,0.0,0,57200.0,1,849.0,9190502983.0,1566075796.0,20.0,15800078
78,Kites,207,4,4,0,123,21/05/2010,1,6.1,0.0,0,,0,991.0,10639535233.0,2041030428.0,29.0,16434860
79,The Guard,203,6,2,1,96,29/07/2011,1,7.3,0.0,0,4500.0,1,996.0,10589599184.0,1376087969.0,36.0,5360274
80,Guardians of the Galaxy,4088,1,4,1,121,01/08/2014,1,8.1,116600.0,1,182800.0,1,603.0,10893180888.0,2225063194.0,38.0,333176600
81,Guardians of the Galaxy Vol. 2,4347,1,4,1,136,05/05/2017,1,7.8,116600.0,1,182800.0,1,1036.0,11216236720.0,2297451379.0,33.0,389813101
