,,Unnamed: 0,Unnamed: 0.1,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross,last year_totalgross,genre_gross,count_num
43,43,66,86,Kill Your Friends,2015,0,UK,Comedy,Rated,103,2016-04-01,Owen Harris,"['Nicholas Hoult', ' James Corden', ' Georgia King']",English,6.1,0.0,11149116327.0,1321791183.0,51
44,44,69,89,Killer Elite,2011,2986,UK,Action,Rated,116,2011-09-23,Gary McKendry,"['Jason Statham', ' Clive Owen', ' Robert De Niro']",English,6.5,25124966.0,10589599184.0,1491832495.0,43
45,45,70,90,The Killer Inside Me,2010,17,USA,Crime,Rated,109,2010-06-18,Michael Winterbottom,"['Casey Affleck', ' Kate Hudson', ' Jessica Alba']",English,6.1,217277.0,10639535233.0,,29
46,46,71,91,Killer Joe,2011,75,USA,Crime,Rated,102,2012-07-27,William Friedkin,"['Matthew McConaughey', ' Emile Hirsch', ' Juno Temple']",English,6.7,1987762.0,10187347362.0,,23
47,47,72,93,Killers,2010,2859,USA,Action,Rated,100,2010-06-04,Robert Luketic,"['Ashton Kutcher', ' Katherine Heigl', ' Tom Selleck']",English,5.4,47059963.0,10639535233.0,2041030428.0,29
48,48,73,97,Killing Kasztner,2008,5,USA,Documentary,Rated,120,2009-10-23,Gaylen Ross,['nan'],English,7.2,112313.0,9750709587.0,87432868.0,37
49,49,74,98,The Killing of a Sacred Deer,2017,238,UK,Drama,Rated,121,2017-10-20,Yorgos Lanthimos,"['Nicole Kidman', ' Alicia Silverstone', ' Colin Farrell']",English,7.9,1083179.0,11216236720.0,1339173437.0,47
50,50,76,100,Killing Season,2013,12,USA,Action,Rated,91,2013-07-12,Mark Steven Johnson,"['Robert De Niro', ' John Travolta', ' Milo Ventimiglia']",English,5.4,39881.0,11041914748.0,2219810902.0,32
51,51,77,101,Killing Them Safely,2015,0,Canada,Documentary,Unrated,100,2015-11-27,Nick Berardini,"['Rick Smith', ' Tom Smith']",English,6.7,0.0,10354970864.0,88392417.0,38
52,52,78,102,Killing Them Softly,2012,2424,USA,Crime,Rated,97,2012-11-30,Andrew Dominik,"['Brad Pitt', ' Scoot McNairy', ' Ben Mendelsohn']",English,6.2,15026056.0,10187347362.0,,38
53,53,79,105,Kills on Wheels,2016,1,Hungary,Action,Rated,103,2017-10-20,Attila Till,"['Szabolcs Thuróczy', ' Zoltán Fenyvesi', ' Ádám Fekete']",Hungarian,7.4,15668.0,11216236720.0,2297451379.0,47
