,Price,Vol.
79,7411.43,731350000.0
80,7423.66,740610000.0
81,7372.0,927040000.0
82,7368.37,822650000.0
83,7443.01,1010000000.0
84,7452.32,774930000.0
85,7434.82,798830000.0
86,7377.73,1110000000.0
87,7452.91,722770000.0
88,7487.87,728090000.0
89,7430.91,660420000.0
90,7390.22,634510000.0
91,7404.13,613970000.0
92,7378.39,852440000.0
93,7413.44,970710000.0
94,7416.93,821520000.0
95,7329.76,683490000.0
96,7370.03,615600000.0
97,7350.92,690330000.0
98,7337.28,791240000.0
99,7367.6,952880000.0
100,7357.23,600300000.0
101,7377.09,726600000.0
102,7312.72,1010000000.0
103,7350.32,959170000.0
104,7387.8,859430000.0
105,7434.36,725030000.0
106,7446.8,714440000.0
107,7424.13,627790000.0
108,7439.29,813130000.0
109,7447.79,869740000.0
110,7472.71,1040000000.0
111,7523.81,568210000.0
112,7463.54,1950000000.0
113,7419.36,1010000000.0
114,7474.4,972220000.0
115,7500.44,782430000.0
116,7511.87,712640000.0
117,7527.33,1110000000.0
118,7449.98,893770000.0
119,7478.62,901560000.0
120,7524.95,867650000.0
121,7525.76,624060000.0
122,7547.63,823790000.0
123,7543.77,884730000.0
124,7519.95,1890000000.0
125,7526.51,760550000.0
126,7547.63,797460000.0
127,7517.71,638440000.0
128,7514.9,848440000.0
129,7485.29,699940000.0
130,7496.34,691510000.0
131,7470.71,845280000.0
132,7436.42,1010000000.0
133,7503.47,1020000000.0
134,7522.03,1040000000.0
135,7454.37,857700000.0
136,7435.39,879090000.0
137,7386.63,985410000.0
138,7385.24,848260000.0
139,7342.21,729080000.0
140,7300.86,738840000.0
141,7297.43,908530000.0
142,7248.1,947130000.0
143,7234.53,790040000.0
144,7250.05,939010000.0
145,7203.94,1180000000.0
146,7237.17,1130000000.0
147,7288.72,887070000.0
148,7275.64,861210000.0
149,7264.68,1060000000.0
150,7114.55,924440000.0
151,7118.54,856400000.0
152,7114.36,1050000000.0
153,7147.5,1070000000.0000001
154,7327.59,738070000.0
155,7348.99,915890000.0
156,7365.5,820610000.0
157,7348.94,689470000.0
158,7349.37,804730000.0
159,7303.2,912350000.0
160,7331.68,772840000.0
161,7321.82,810270000.0
162,7282.69,769000000.0
163,7322.92,986610000.0
164,7369.52,784500000.0
165,7373.72,803450000.0
166,7343.42,815610000.0
167,7293.5,802850000.0
168,7336.82,652710000.0
169,7340.71,807600000.0
170,7324.72,932570000.0
171,7378.34,873160000.0
172,7429.81,629940000.0
173,7424.96,1560000000.0
174,7415.95,1120000000.0
175,7368.64,845710000.0
176,7357.85,868570000.0
177,7367.08,708550000.0
178,7343.08,948170000.0
179,7314.96,1080000000.0
180,7334.61,893030000.0
181,7338.99,870640000.0
182,7350.12,758390000.0
183,7374.26,876910000.0
184,7382.35,955780000.0
185,7382.9,1070000000.0000001
186,7263.44,1010000000.0
187,7253.0,856820000.0
188,7243.7,881800000.0
189,7271.37,1100000000.0
190,7302.25,1180000000.0
191,7274.83,924700000.0
192,7299.86,655610000.0
193,7299.96,826580000.0
194,7277.92,705210000.0
195,7302.41,738320000.0
196,7268.56,779700000.0
197,7278.92,665380000.0
198,7258.75,902730000.0
199,7229.5,805920000.0
200,7188.82,963910000.0
201,7186.22,793590000.0
202,7172.15,633430000.0
203,7188.3,810150000.0
204,7140.75,907250000.0
205,7107.65,809590000.0
206,7099.15,983510000.0
207,7118.48,915510000.0
208,7184.49,903600000.0
209,7161.49,933670000.0
210,7164.43,1020000000.0
211,7150.34,1100000000.0
212,7151.18,736250000.0
213,7198.44,819060000.0
214,7208.44,771560000.0
215,7247.61,820140000.0
216,7220.38,879280000.0
217,7327.13,633740000.0
218,7337.81,836370000.0
219,7292.37,857070000.0
220,7290.49,905710000.0
221,7275.47,961630000.0
222,7237.77,725810000.0
223,7210.05,715800000.0
224,7195.31,792500000.0
225,7189.74,765000000.0
226,7177.89,820160000.0
227,7142.83,326490000.0
228,7120.26,395480000.0
229,7106.08,470760000.0
230,7068.17,191920000.0
231,7063.68,483160000.0
232,7041.42,618990000.0
233,7043.96,744310000.0
234,7017.16,645420000.0
235,7011.64,1150000000.0
236,6999.01,1100000000.0
237,6949.19,1000000000.0
238,6968.57,930150000.0
239,6890.42,946230000.0
240,6954.21,827890000.0
241,6931.55,1050000000.0
242,6902.23,1160000000.0
243,6779.84,871540000.0
244,6746.83,814970000.0
245,6730.72,708450000.0
246,6752.93,966720000.0
247,6783.79,1330000000.0
248,6772.0,772230000.0
249,6799.47,709670000.0
250,6840.75,477580000.0
251,6829.2,491420000.0
252,6817.71,796850000.0
253,6819.72,896750000.0
254,6777.96,781740000.0
255,6775.77,866730000.0
256,6794.71,826250000.0
257,6749.72,877280000.0
258,6792.74,1160000000.0
259,6753.18,1050000000.0
260,6730.43,1110000000.0
261,6827.98,1740000000.0
262,6911.84,1360000000.0
263,6843.13,832260000.0
264,6806.9,862190000.0
265,6693.26,875840000.0
266,6790.51,1080000000.0
267,6845.42,773900000.0
268,6917.14,780870000.0
269,6954.22,810760000.0
270,6996.26,956620000.0
